Zone,House ID,Number of Occupants
G SW APARTMENT,3fc5765ce5f0e0b9b962f6ce8862a012548f4539,2
G NW APARTMENT,3ea18703886d759d0d1a7cac2d20217887f1318f,2
OFFICE,fb286e8a122f251df9217bfcd3354aef87048c7e,2
G NE APARTMENT,1a7284c2f73d61910bf737bd9e3334ffe5e8ec8d,2
G N1 APARTMENT,91c838e3f021718c404ecdb1fc4a02a201cbc341,2
G N2 APARTMENT,70d4656c917457350cb02439a8599073454a989f,2
G S1 APARTMENT,fdcca4100cbbef1b6983b9cee3d610d39982daa1,2
G S2 APARTMENT,b2a27e2ed70203f61c9cfe6c50f1f64dccfaf469,3
G CORRIDOR,,0
F2 SW APARTMENT,108151f3715570b1ead10f6c9fe678c421f5a246,2
F2 NW APARTMENT,051db978e49eef2cacda77318e4d37dc64fb1214,3
F2 SE APARTMENT,55f02ed8cc7c1c8e617fad0b2129297144505655,3
F2 NE APARTMENT,62dc184f1004f72020986af5185c100bf7a3192e,3
F2 N1 APARTMENT,075f381257a76a7b200a3b27e6f0bb848f200a3b,2
F2 N2 APARTMENT,557c8904a5e56e77ab76ff94e0f1db172a0600b1,2
F2 S1 APARTMENT,7509afaf5fa6284666655ff875d20c147571f50a,2
F2 S2 APARTMENT,4ec49f41e1c5ad16f9de908d9293c1c25ee177fb,3
F2 CORRIDOR,,0
F3 SW APARTMENT,a7925b50345e8e7d3ae54e1bb2c27e13f79292a5,3
F3 NW APARTMENT,6388dec833805cd824420104ba2d7105ae89c031,3
F3 SE APARTMENT,74da9ea358564d193c298b3585808820aceefbe8,3
F3 NE APARTMENT,e981f78540e82d095355e561c19ecde2d859f722,2
F3 N1 APARTMENT,adc601e576d30a1d0af4a919e483debfbfa8545f,2
F3 N2 APARTMENT,e5ddd2f6e4cae88fd488a793a932acf615a0efe6,3
F3 S1 APARTMENT,695c9b415f6750814f2a7dec792fb32715b4f793,3
F3 S2 APARTMENT,03128ce9b7f3b0f05f9329e18b9c3c34086af11f,2
F3 CORRIDOR,,0
F4 SW APARTMENT,a3696918e7d4dfaca99b181102237a0153d0b311,3
F4 NW APARTMENT,1c663548bb009350a6735052fbb59515bd0582cf,3
F4 SE APARTMENT,5d9d1017a1631bf1c39d2a7fcc13519448791b86,3
F4 NE APARTMENT,8976d5ff40772b2ac65c2899511735099ff0eaa4,3
F4 N1 APARTMENT,f3cf63aed6c725ac15f88a1607b55a8d1296f624,3
F4 N2 APARTMENT,289aab7b8812ad58092a9b413466a1fe36d1c0d6,3
F4 S1 APARTMENT,a21c953644c4975a141fe509357aae6be54dfb20,2
F4 S2 APARTMENT,32aa88ca3d31d2ffb5d935538eacb451a8dfd5ed,2
F4 CORRIDOR,,0
M SW APARTMENT,77ffc2ad44ee03c4078d2267b4159ed2c2bc2b46,3
M NW APARTMENT,ee4dc498a2660e3324af7006df69ca31d3c53316,3
M SE APARTMENT,84eb9a4d63bc3f2d022cf04b454b70261a78ba04,3
M NE APARTMENT,e72029cab625e845b0da6a1a7071f8a7e7cc51cb,3
M N1 APARTMENT,089a646f83cc38e0ed8596e8c97842c1a78dae1e,3
M N2 APARTMENT,5dbc14d5a89d1d72c41009c708963b366015d014,2
M S1 APARTMENT,d7ea4cb49b59076f77b682070ae162bcee394a3e,3
M S2 APARTMENT,63d90391571f3e34f21d0c1c636cacb570138a15,2
M CORRIDOR,,0
F6 SW APARTMENT,e172f41eb318c4b7982d4a2fc8f6eee290a1d425,3
