Zone,House ID,Number of Occupants
G SW APARTMENT,2aac3da31c8941497974ec5741c8ead0328c6cce,2
G NW APARTMENT,a898352c4c4207aa99cf99d5d6153f4ea31bc2f9,2
OFFICE,8e672948e44b620407aa1e8dd5108c936f07ab3a,2
G NE APARTMENT,fe00cfc8a3b4a979daac0ca57c0386bca8309c72,2
G N1 APARTMENT,cfad73bfc0fdfe15c1da416eb9ae439d2e96aa1e,2
G N2 APARTMENT,5b65b4d9407c93a321c7ef51336fde964f6ff5da,3
G S1 APARTMENT,d8585149fc98ec2ba4288731fb04f482146d75f2,2
G S2 APARTMENT,0b50750888a5272d1a1281be5f759e53cb6f48f2,2
G CORRIDOR,,0
M SW APARTMENT,199c305996aba2474b3e6e4fc90ebb0cd8f69c32,2
M NW APARTMENT,23fb19b13c7ee30535e795964c9c060ddd15cb1d,3
M SE APARTMENT,2ef54171332f5247da485b1d188b3ba6c790c2de,3
M NE APARTMENT,3d2aabf8e6fd404b9ead2803ec5f383599fc82d3,2
M N1 APARTMENT,4dc49fa2c8c8a0d7e0ffde0eb0d84710b8682451,2
M N2 APARTMENT,4b5ef64446328a58c329c3cf65536fa74e947116,3
M S1 APARTMENT,62dc184f1004f72020986af5185c100bf7a3192e,3
M S2 APARTMENT,5e99c976b482de7d21f4ccf4af7ba45934ebf333,3
M CORRIDOR,,0
T SW APARTMENT,399ecd4df444814f20baa88770c6910d76e6d4dc,3
T NW APARTMENT,de461287cdb9549abb0b7082a55ee38851316300,2
T SE APARTMENT,da09897f6b67c4511ee33c658ddbdfe3afd082e3,2
T NE APARTMENT,6c7faa24c5852d6a734e0fb174ad1ce994b934a6,3
T N1 APARTMENT,31f3ae4c1f30dbec8c3a56210869b20f6734d81c,3
T N2 APARTMENT,f3cf63aed6c725ac15f88a1607b55a8d1296f624,3
T S1 APARTMENT,0d4b507ec7fbc050d9c8b4e0d1d39763f56825ab,3
T S2 APARTMENT,a3696918e7d4dfaca99b181102237a0153d0b311,3
T CORRIDOR,,0
