Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.292278051376343,11.564823247751015,752484.9967956543,[-25.064627]
4.245110034942627,8.643624506580332,753465.892791748,[-18.966011]
4.239970922470093,8.180897844748365,679133.710861206,[-17.763876]
4.362282991409302,6.510677600900332,650186.7351531982,[-14.928758]
4.547173261642456,7.477722501175271,642636.6624832153,[-16.384295]
4.386860132217407,8.02445775249766,652316.8144226074,[-17.392061]
4.745323896408081,7.6398014517294035,648442.7537918091,[-16.722404]
4.30861496925354,6.0942727906836405,619848.4878540039,[-13.835265]
4.2126758098602295,6.684838841358821,551715.1021957397,[-14.880809]
4.447184801101685,6.069921834601296,613627.17628479,[-13.5917425]
4.227576017379761,6.700438362028864,582921.9341278076,[-14.74791]
4.045747995376587,5.458881298700969,544934.9937438965,[-12.513694]
4.1546549797058105,5.173305180337694,496640.7403945923,[-11.652892]
4.23944091796875,4.716557886865404,515781.7916870117,[-10.81338]
4.36822509765625,4.57018917798996,508336.87353134155,[-10.316932]
4.2421228885650635,4.925584990117285,451105.2408218384,[-10.827443]
4.231251239776611,4.828530066543156,438229.7043800354,[-10.831182]
4.125311851501465,4.210841470294529,436838.8042449951,[-9.461519]
4.142058849334717,4.239231242073907,439787.4917984009,[-9.600936]
4.157521963119507,3.523376040988498,450772.99976348877,[-8.271531]
4.533862113952637,3.4916030963261924,448663.61808776855,[-8.007463]
4.218581914901733,3.849170161618127,443055.10330200195,[-8.65218]
4.252727746963501,3.766684803697798,364034.74617004395,[-8.387464]
4.139608860015869,3.615622401237488,329693.15099716187,[-8.00016]
4.3349528312683105,4.128054744667477,350766.81327819824,[-8.930019]
4.1765758991241455,3.213729818662008,347872.9248046875,[-7.2750745]
4.219131946563721,2.7310106224483914,354006.25705718994,[-6.3173604]
4.170168161392212,2.5363111098607383,321214.6191596985,[-5.7570972]
4.10826301574707,2.380700879626804,319458.28199386597,[-5.407606]
4.072774171829224,2.143252260155148,319164.46256637573,[-4.976872]
4.107219934463501,2.54360650645362,311758.63456726074,[-5.850317]
3.948592185974121,2.3879693746566772,297920.28999328613,[-5.4066978]
3.9896440505981445,2.1360809339417353,300076.1365890503,[-4.829645]
4.09522271156311,2.3332137597931757,281005.78594207764,[-5.119183]
4.189672946929932,2.0968878202968173,299835.412979126,[-4.8199883]
4.344066143035889,1.8550768163469102,321740.2367591858,[-4.24506]
4.443481922149658,1.8007740179697673,301866.5542602539,[-4.0299206]
4.522757291793823,2.044092039267222,297370.7365989685,[-4.5698423]
4.359555006027222,1.4414252705044217,295902.6527404785,[-3.4714034]
4.373852014541626,1.4456951750649347,310975.52490234375,[-3.4298706]
4.395450830459595,1.553793986638387,298016.8209075928,[-3.6255872]
4.449217796325684,1.5018908977508545,298379.8885345459,[-3.4825518]
4.489633083343506,1.1349379751417372,306111.33670806885,[-2.7243288]
4.219989061355591,1.1212042702568903,308126.9989013672,[-2.7683866]
4.164839267730713,1.354104545381334,300858.0918312073,[-3.130646]
4.358814001083374,1.4375247557957966,291558.45642089844,[-3.3090904]
4.407199859619141,1.342524700694614,296451.5857696533,[-3.0158045]
4.351205825805664,1.1795257329940796,296008.7823867798,[-2.7409384]
4.413083791732788,1.0398708979288738,305291.47148132324,[-2.5369132]
4.46759295463562,1.0305226114061143,302125.0,[-2.475812]
4.317070960998535,0.9501467810736762,304276.90505981445,[-2.2974694]
4.380007028579712,0.8273922204971313,311541.73278808594,[-2.0358229]
4.316377878189087,0.8126699129740397,314286.3025665283,[-2.0923338]
4.289635896682739,0.9380671315722995,315807.4951171875,[-2.2701938]
4.262315034866333,0.9880892038345337,295834.6195220947,[-2.3446016]
4.251272916793823,1.07540938589308,296981.1792373657,[-2.5321805]
4.376712322235107,1.115921934445699,295137.26329803467,[-2.5199707]
4.226146697998047,1.189030925432841,295118.46446990967,[-2.7005644]
4.328678846359253,1.1480516725116305,292777.3084640503,[-2.6244242]
4.354980945587158,0.9876272413465712,302579.9674987793,[-2.308685]
4.498322248458862,0.848987340927124,305751.53827667236,[-2.061467]
4.370024919509888,0.8947948349846734,304209.3849182129,[-2.125162]
4.235514163970947,0.8673768043518066,300633.9521408081,[-2.0774488]
4.011731863021851,0.8747764428456625,299906.2919616699,[-2.11647]
4.014215707778931,0.8924130731158786,297857.3188781738,[-2.0993364]
4.056792259216309,0.8203820784886678,308965.31200408936,[-1.9391631]
3.9722278118133545,0.823984252081977,305203.09352874756,[-1.9788679]
3.9933719635009766,0.8924546904034085,299491.8894767761,[-2.091004]
4.262689828872681,0.7808072964350382,302185.2617263794,[-1.9276031]
4.2345757484436035,0.6802863677342733,314072.27516174316,[-1.7257576]
4.23271107673645,0.7249929772482978,313711.5535736084,[-1.8093476]
4.318578004837036,0.888736711608039,297918.82514953613,[-2.079491]
4.150785207748413,1.0055564244588215,296244.9378967285,[-2.3271337]
4.112454891204834,0.9890028370751275,297309.81731414795,[-2.3149674]
4.113497734069824,0.7834639549255371,305925.479888916,[-1.9324099]
4.2816550731658936,0.752118256356981,314238.09909820557,[-1.8632058]
4.1711602210998535,0.572358939382765,310967.76580810547,[-1.4708828]
4.1073830127716064,1.1195847060945299,295882.9097747803,[-2.521517]
4.054857969284058,0.7146606577767266,309364.42947387695,[-1.7629528]
3.9786369800567627,0.7658611668480767,306563.39263916016,[-1.8752254]
4.233206033706665,0.6924495299657186,308928.3027648926,[-1.6931391]
4.288841962814331,1.0153724352518718,296710.1535797119,[-2.3470228]
4.299722909927368,0.9758564498689439,296384.62257385254,[-2.246073]
4.276231050491333,0.7339657545089722,302156.2852859497,[-1.7556534]
4.342982769012451,0.634013467364841,306684.73625183105,[-1.6259502]
4.451811075210571,0.9759248362647163,296051.5375137329,[-2.22289]
4.301638841629028,1.1049415402942233,292288.88988494873,[-2.485995]
4.39670991897583,1.4119204547670152,285738.03424835205,[-3.0612125]
4.273401260375977,0.8912122249603271,299550.09269714355,[-2.085241]
4.351255893707275,0.9843720462587144,295926.05781555176,[-2.2916098]
4.221582651138306,1.0277719497680664,296873.49796295166,[-2.329959]
4.397181034088135,0.843853685590956,301762.5160217285,[-2.0120609]
4.198635101318359,0.8213859796524048,306997.69258499146,[-1.9653535]
4.140983819961548,0.7399708562427096,312392.1809196472,[-1.8076729]
4.07902193069458,0.8540557622909546,305253.6220550537,[-2.0405307]
4.330542087554932,0.9616522259182401,302264.4453048706,[-2.256536]
4.385329008102417,0.5774410830603706,313054.94499206543,[-1.4946117]
4.164320945739746,0.8038632207446628,306668.9405441284,[-1.924416]
