Day,Hour,Room,Temperature
1,0,1,22.0
1,0,2,22.0
1,0,3,22.0
1,0,4,22.0
1,0,5,22.0
1,0,6,22.0
1,1,1,22.109142
1,1,2,21.685963
1,1,3,21.440607
1,1,4,21.930054
1,1,5,21.688082
1,1,6,22.189995
1,2,1,21.893147
1,2,2,21.441156
1,2,3,21.196655
1,2,4,21.69282
1,2,5,21.432316
1,2,6,21.982992
1,3,1,21.778309
1,3,2,21.37687
1,3,3,21.174965
1,3,4,21.65671
1,3,5,21.206083
1,3,6,21.943302
1,4,1,21.504862
1,4,2,21.395023
1,4,3,21.394804
1,4,4,21.648045
1,4,5,20.605822
1,4,6,21.918224
1,5,1,21.249538
1,5,2,21.14196
1,5,3,21.156113
1,5,4,21.395357
1,5,5,20.293482
1,5,6,21.69149
1,6,1,21.034304
1,6,2,20.928463
1,6,3,20.941256
1,6,4,21.18335
1,6,5,20.081553
1,6,6,21.47656
1,7,1,21.082304
1,7,2,21.009504
1,7,3,21.018223
1,7,4,21.259586
1,7,5,20.175488
1,7,6,21.515255
1,8,1,20.88391
1,8,2,20.778887
1,8,3,20.79165
1,8,4,21.033712
1,8,5,19.931526
1,8,6,21.324404
1,9,1,22.07082
1,9,2,22.159813
1,9,3,22.14774
1,9,4,22.378359
1,9,5,21.364147
1,9,6,22.431366
1,10,1,21.674997
1,10,2,21.47609
1,10,3,21.244204
1,10,4,21.627468
1,10,5,21.312023
1,10,6,21.955975
1,11,1,21.59739
1,11,2,21.61013
1,11,3,21.36854
1,11,4,21.675323
1,11,5,21.463316
1,11,6,21.87296
1,12,1,21.67532
1,12,2,21.742243
1,12,3,21.505743
1,12,4,21.741358
1,12,5,21.513845
1,12,6,21.827978
1,13,1,21.288742
1,13,2,21.309633
1,13,3,21.067274
1,13,4,21.259872
1,13,5,20.913092
1,13,6,21.380363
1,14,1,21.217901
1,14,2,21.266329
1,14,3,21.013916
1,14,4,21.224072
1,14,5,20.879446
1,14,6,21.282455
1,15,1,21.306719
1,15,2,21.364618
1,15,3,21.113142
1,15,4,21.32397
1,15,5,20.996141
1,15,6,21.3819
1,16,1,21.148874
1,16,2,21.184896
1,16,3,20.937109
1,16,4,21.146233
1,16,5,20.827074
1,16,6,21.28297
1,17,1,20.915504
1,17,2,20.909285
1,17,3,20.668076
1,17,4,20.891401
1,17,5,20.566652
1,17,6,21.092882
1,18,1,20.760311
1,18,2,20.6521
1,18,3,20.469152
1,18,4,20.698208
1,18,5,20.306925
1,18,6,20.91658
1,19,1,21.531202
1,19,2,21.347118
1,19,3,21.242176
1,19,4,21.434593
1,19,5,21.098314
1,19,6,21.406305
1,20,1,21.795385
1,20,2,21.572374
1,20,3,21.46801
1,20,4,21.665041
1,20,5,21.372908
1,20,6,21.682594
1,21,1,21.742847
1,21,2,21.487072
1,21,3,21.377394
1,21,4,21.584564
1,21,5,21.304947
1,21,6,21.655552
1,22,1,21.542574
1,22,2,21.256123
1,22,3,21.105879
1,22,4,21.370188
1,22,5,21.156776
1,22,6,21.50391
1,23,1,21.604872
1,23,2,21.28008
1,23,3,21.06153
1,23,4,21.447021
1,23,5,21.284863
1,23,6,21.617897
2,0,1,21.463762
2,0,2,21.025202
2,0,3,20.788202
2,0,4,21.261145
2,0,5,21.013075
2,0,6,21.51429
2,1,1,21.484776
2,1,2,21.311237
2,1,3,21.248419
2,1,4,21.576744
2,1,5,20.727644
2,1,6,21.808325
2,2,1,21.846869
2,2,2,21.825764
2,2,3,21.83049
2,2,4,22.063692
2,2,5,21.012363
2,2,6,22.26116
2,3,1,22.052658
2,3,2,21.945698
2,3,3,21.925915
2,3,4,22.195503
2,3,5,21.23103
2,3,6,22.435144
2,4,1,22.361261
2,4,2,22.283918
2,4,3,22.266415
2,4,4,22.527508
2,4,5,21.56248
2,4,6,22.745626
2,5,1,22.07859
2,5,2,21.615324
2,5,3,21.395102
2,5,4,21.884676
2,5,5,21.519478
2,5,6,22.239233
2,6,1,22.039988
2,6,2,21.924208
2,6,3,21.897348
2,6,4,22.17659
2,6,5,21.230658
2,6,6,22.416418
2,7,1,22.580872
2,7,2,22.533062
2,7,3,22.511562
2,7,4,22.771696
2,7,5,21.8253
2,7,6,22.955788
2,8,1,22.392458
2,8,2,21.961891
2,8,3,21.72237
2,8,4,22.191246
2,8,5,21.966784
2,8,6,22.520395
2,9,1,23.691181
2,9,2,23.494417
2,9,3,23.225298
2,9,4,23.680525
2,9,5,23.56012
2,9,6,23.706293
2,10,1,21.75829
2,10,2,21.77117
2,10,3,21.617023
2,10,4,21.73121
2,10,5,21.448452
2,10,6,22.125965
2,11,1,21.739172
2,11,2,21.834726
2,11,3,21.587543
2,11,4,21.773504
2,11,5,21.475697
2,11,6,21.897446
2,12,1,21.64926
2,12,2,21.81302
2,12,3,21.542847
2,12,4,21.721035
2,12,5,21.45957
2,12,6,21.824654
2,13,1,21.732626
2,13,2,21.946987
2,13,3,21.665176
2,13,4,21.842009
2,13,5,21.601452
2,13,6,21.919035
2,14,1,21.947409
2,14,2,22.231668
2,14,3,21.93478
2,14,4,22.104374
2,14,5,21.90002
2,14,6,22.175741
2,15,1,21.076887
2,15,2,21.312418
2,15,3,20.996372
2,15,4,21.177032
2,15,5,20.92092
2,15,6,21.476126
2,16,1,21.658497
2,16,2,21.912579
2,16,3,21.602077
2,16,4,21.82782
2,16,5,21.601868
2,16,6,21.939182
2,17,1,20.949234
2,17,2,21.14219
2,17,3,20.836897
2,17,4,21.038654
2,17,5,20.811407
2,17,6,21.383055
2,18,1,21.910645
2,18,2,21.968119
2,18,3,21.762346
2,18,4,21.943077
