Day,Hour,Room,Temperature
1,0,1,22.0
1,0,2,22.0
1,0,3,22.0
1,0,4,22.0
1,0,5,22.0
1,0,6,22.0
1,1,1,15.826656
1,1,2,15.719086
1,1,3,15.857071
1,1,4,15.714933
1,1,5,15.4338255
1,1,6,17.071077
1,2,1,12.216639
1,2,2,12.475129
1,2,3,12.194112
1,2,4,11.976921
1,2,5,12.281684
1,2,6,13.104142
1,3,1,10.526178
1,3,2,10.993839
1,3,3,10.947274
1,3,4,10.606469
1,3,5,10.858876
1,3,6,11.208075
1,4,1,8.768406
1,4,2,9.458787
1,4,3,9.181508
1,4,4,9.065039
1,4,5,9.093998
1,4,6,9.613752
1,5,1,6.4364038
1,5,2,6.905986
1,5,3,6.7550526
1,5,4,7.023583
1,5,5,6.295849
1,5,6,7.5316825
1,6,1,5.647921
1,6,2,5.7538166
1,6,3,5.6274033
1,6,4,5.81677
1,6,5,5.6863055
1,6,6,6.299663
1,7,1,5.130178
1,7,2,5.8406544
1,7,3,5.5157332
1,7,4,5.1680393
1,7,5,5.5888743
1,7,6,5.845318
1,8,1,4.05285
1,8,2,4.6429496
1,8,3,4.3145633
1,8,4,4.5952516
1,8,5,4.564987
1,8,6,4.880886
1,9,1,5.0884223
1,9,2,6.147987
1,9,3,6.083103
1,9,4,5.471069
1,9,5,5.8471465
1,9,6,5.7500863
1,10,1,6.405218
1,10,2,7.402083
1,10,3,7.14862
1,10,4,7.1785307
1,10,5,6.9471455
1,10,6,6.9801674
1,11,1,7.312264
1,11,2,8.529249
1,11,3,8.211152
1,11,4,7.9948573
1,11,5,8.583122
1,11,6,8.3755665
1,12,1,9.324167
1,12,2,10.229959
1,12,3,9.826956
1,12,4,10.157491
1,12,5,9.861157
1,12,6,9.879255
1,13,1,10.8356495
1,13,2,11.88173
1,13,3,11.096304
1,13,4,11.255063
1,13,5,11.714476
1,13,6,11.039628
1,14,1,11.087445
1,14,2,12.029258
1,14,3,11.452842
1,14,4,11.671216
1,14,5,11.874478
1,14,6,11.749787
1,15,1,12.188538
1,15,2,13.056026
1,15,3,11.974894
1,15,4,12.331549
1,15,5,12.319935
1,15,6,12.504214
1,16,1,12.271671
1,16,2,13.246226
1,16,3,12.999975
1,16,4,12.925536
1,16,5,12.816987
1,16,6,12.807514
1,17,1,12.920437
1,17,2,13.150793
1,17,3,13.074241
1,17,4,13.372548
1,17,5,12.886269
1,17,6,13.1585
1,18,1,11.251768
1,18,2,11.663842
1,18,3,11.66497
1,18,4,11.812307
1,18,5,11.923802
1,18,6,12.022345
1,19,1,11.53049
1,19,2,11.936302
1,19,3,11.688181
1,19,4,11.807206
1,19,5,11.790497
1,19,6,11.891642
1,20,1,11.27044
1,20,2,11.88817
1,20,3,11.627965
1,20,4,11.194129
1,20,5,11.25317
1,20,6,11.846303
1,21,1,11.06074
1,21,2,11.333291
1,21,3,11.727665
1,21,4,11.506508
1,21,5,11.51559
1,21,6,11.69696
1,22,1,10.01314
1,22,2,10.639865
1,22,3,10.347473
1,22,4,10.096112
1,22,5,10.361049
1,22,6,10.580616
1,23,1,9.5861
1,23,2,9.951394
1,23,3,9.769171
1,23,4,10.08123
1,23,5,9.840459
1,23,6,10.140235
2,0,1,8.748739
2,0,2,9.355396
2,0,3,9.394976
2,0,4,9.446803
2,0,5,8.978164
2,0,6,9.566752
2,1,1,8.094917
2,1,2,8.371477
2,1,3,8.591783
2,1,4,8.216015
2,1,5,8.160327
2,1,6,8.848173
2,2,1,6.927823
2,2,2,7.874449
2,2,3,7.58692
2,2,4,7.637513
2,2,5,7.3852487
2,2,6,8.044708
2,3,1,6.8306584
2,3,2,7.517081
2,3,3,7.138273
2,3,4,7.368497
2,3,5,7.8832097
2,3,6,7.407165
2,4,1,7.074344
2,4,2,7.859222
2,4,3,7.654806
2,4,4,7.5043535
2,4,5,7.174847
2,4,6,8.183205
2,5,1,6.762096
2,5,2,7.683499
2,5,3,7.7002068
2,5,4,7.469287
2,5,5,7.463419
2,5,6,7.6248755
2,6,1,6.364026
2,6,2,7.4901066
2,6,3,7.0355434
2,6,4,6.854781
2,6,5,6.9029245
2,6,6,7.370103
2,7,1,7.0247383
2,7,2,7.4276824
2,7,3,6.7802515
2,7,4,7.532618
2,7,5,7.946453
2,7,6,7.4999413
2,8,1,7.370752
2,8,2,7.936751
2,8,3,7.441769
2,8,4,7.7514377
2,8,5,7.690261
2,8,6,7.8691726
2,9,1,9.087893
2,9,2,9.920649
2,9,3,9.621027
2,9,4,9.788246
2,9,5,9.452028
2,9,6,9.52441
2,10,1,15.022706
2,10,2,15.719286
2,10,3,15.255635
2,10,4,15.315301
2,10,5,15.206189
2,10,6,14.956779
2,11,1,21.416767
2,11,2,21.91698
2,11,3,21.605467
2,11,4,21.826118
2,11,5,21.247812
2,11,6,21.0211
2,12,1,24.690796
2,12,2,24.73119
2,12,3,24.61029
2,12,4,24.799652
2,12,5,24.084932
2,12,6,24.011738
2,13,1,25.212868
2,13,2,25.265388
2,13,3,25.043655
2,13,4,25.46866
2,13,5,24.642368
2,13,6,24.951103
2,14,1,26.58148
2,14,2,26.163717
2,14,3,26.62498
2,14,4,26.303282
2,14,5,25.992949
2,14,6,26.260927
2,15,1,25.780123
2,15,2,25.206818
2,15,3,25.626757
2,15,4,25.843418
2,15,5,25.19078
2,15,6,25.891832
2,16,1,27.464226
2,16,2,27.268978
2,16,3,26.916853
2,16,4,26.999039
2,16,5,26.666063
2,16,6,27.061386
2,17,1,27.078663
2,17,2,26.860909
2,17,3,27.061825
2,17,4,27.13915
2,17,5,26.504688
2,17,6,27.187014
2,18,1,27.340395
