Day,Hour,Room,Temperature
182,0,1,22.0
182,0,2,22.0
182,0,3,22.0
182,0,4,22.0
182,0,5,22.0
182,0,6,22.0
182,1,1,22.109142
182,1,2,21.685963
182,1,3,21.440607
182,1,4,21.930054
182,1,5,21.688082
182,1,6,22.189995
182,2,1,21.893147
182,2,2,21.441156
182,2,3,21.196655
182,2,4,21.69282
182,2,5,21.432316
182,2,6,21.982992
182,3,1,21.778309
182,3,2,21.37687
182,3,3,21.174965
182,3,4,21.65671
182,3,5,21.206083
182,3,6,21.943302
182,4,1,21.504862
182,4,2,21.395023
182,4,3,21.394804
182,4,4,21.648045
182,4,5,20.605822
182,4,6,21.918224
182,5,1,21.249538
182,5,2,21.14196
182,5,3,21.156113
182,5,4,21.395357
182,5,5,20.293482
182,5,6,21.69149
182,6,1,21.034304
182,6,2,20.928463
182,6,3,20.941256
182,6,4,21.18335
182,6,5,20.081553
182,6,6,21.47656
182,7,1,21.082304
182,7,2,21.009504
182,7,3,21.018223
182,7,4,21.259586
182,7,5,20.175488
182,7,6,21.515255
182,8,1,20.88391
182,8,2,20.778887
182,8,3,20.79165
182,8,4,21.033712
182,8,5,19.931526
182,8,6,21.324404
182,9,1,22.07082
182,9,2,22.159813
182,9,3,22.14774
182,9,4,22.378359
182,9,5,21.364147
182,9,6,22.431366
182,10,1,21.674997
182,10,2,21.47609
182,10,3,21.244204
182,10,4,21.627468
182,10,5,21.312023
182,10,6,21.955975
182,11,1,21.59739
182,11,2,21.61013
182,11,3,21.36854
182,11,4,21.675323
182,11,5,21.463316
182,11,6,21.87296
182,12,1,21.67532
182,12,2,21.742243
182,12,3,21.505743
182,12,4,21.741358
182,12,5,21.513845
182,12,6,21.827978
182,13,1,21.288742
182,13,2,21.309633
182,13,3,21.067274
182,13,4,21.259872
182,13,5,20.913092
182,13,6,21.380363
182,14,1,21.217901
182,14,2,21.266329
182,14,3,21.013916
182,14,4,21.224072
182,14,5,20.879446
182,14,6,21.282455
182,15,1,21.306719
182,15,2,21.364618
182,15,3,21.113142
182,15,4,21.32397
182,15,5,20.996141
182,15,6,21.3819
182,16,1,21.148874
182,16,2,21.184896
182,16,3,20.937109
182,16,4,21.146233
182,16,5,20.827074
182,16,6,21.28297
182,17,1,20.915504
182,17,2,20.909285
182,17,3,20.668076
182,17,4,20.891401
182,17,5,20.566652
182,17,6,21.092882
182,18,1,20.760311
182,18,2,20.6521
182,18,3,20.469152
182,18,4,20.698208
182,18,5,20.306925
182,18,6,20.91658
182,19,1,21.531202
182,19,2,21.347118
182,19,3,21.242176
182,19,4,21.434593
182,19,5,21.098314
182,19,6,21.406305
182,20,1,21.795385
182,20,2,21.572374
182,20,3,21.46801
182,20,4,21.665041
182,20,5,21.372908
182,20,6,21.682594
182,21,1,21.742847
182,21,2,21.487072
182,21,3,21.377394
182,21,4,21.584564
182,21,5,21.304947
182,21,6,21.655552
182,22,1,21.542574
182,22,2,21.256123
182,22,3,21.105879
182,22,4,21.370188
182,22,5,21.156776
182,22,6,21.50391
182,23,1,21.604872
182,23,2,21.28008
182,23,3,21.06153
182,23,4,21.447021
182,23,5,21.284863
182,23,6,21.617897
183,0,1,21.463762
183,0,2,21.025202
183,0,3,20.788202
183,0,4,21.261145
183,0,5,21.013075
183,0,6,21.51429
183,1,1,21.484776
183,1,2,21.311237
183,1,3,21.248419
183,1,4,21.576744
183,1,5,20.727644
183,1,6,21.808325
183,2,1,21.846869
183,2,2,21.825764
183,2,3,21.83049
183,2,4,22.063692
183,2,5,21.012363
183,2,6,22.26116
183,3,1,22.052658
183,3,2,21.945698
183,3,3,21.925915
183,3,4,22.195503
183,3,5,21.23103
183,3,6,22.435144
183,4,1,22.361261
183,4,2,22.283918
183,4,3,22.266415
183,4,4,22.527508
183,4,5,21.56248
183,4,6,22.745626
183,5,1,22.07859
183,5,2,21.615324
183,5,3,21.395102
183,5,4,21.884676
183,5,5,21.519478
183,5,6,22.239233
183,6,1,22.039988
183,6,2,21.924208
183,6,3,21.897348
183,6,4,22.17659
183,6,5,21.230658
183,6,6,22.416418
183,7,1,22.580872
183,7,2,22.533062
183,7,3,22.511562
183,7,4,22.771696
183,7,5,21.8253
183,7,6,22.955788
183,8,1,22.392458
183,8,2,21.961891
183,8,3,21.72237
183,8,4,22.191246
183,8,5,21.966784
183,8,6,22.520395
183,9,1,23.691181
183,9,2,23.494417
183,9,3,23.225298
183,9,4,23.680525
183,9,5,23.56012
183,9,6,23.706293
183,10,1,21.75829
183,10,2,21.77117
183,10,3,21.617023
183,10,4,21.73121
183,10,5,21.448452
183,10,6,22.125965
183,11,1,21.739172
183,11,2,21.834726
183,11,3,21.587543
183,11,4,21.773504
183,11,5,21.475697
183,11,6,21.897446
183,12,1,21.64926
183,12,2,21.81302
183,12,3,21.542847
183,12,4,21.721035
183,12,5,21.45957
183,12,6,21.824654
183,13,1,21.732626
183,13,2,21.946987
183,13,3,21.665176
183,13,4,21.842009
183,13,5,21.601452
183,13,6,21.919035
183,14,1,21.947409
183,14,2,22.231668
183,14,3,21.93478
183,14,4,22.104374
183,14,5,21.90002
183,14,6,22.175741
183,15,1,21.076887
183,15,2,21.312418
183,15,3,20.996372
183,15,4,21.177032
183,15,5,20.92092
183,15,6,21.476126
183,16,1,21.658497
183,16,2,21.912579
183,16,3,21.602077
183,16,4,21.82782
183,16,5,21.601868
183,16,6,21.939182
183,17,1,20.949234
183,17,2,21.14219
183,17,3,20.836897
183,17,4,21.038654
183,17,5,20.811407
183,17,6,21.383055
183,18,1,21.910645
183,18,2,21.968119
183,18,3,21.762346
183,18,4,21.943077
183,18,5,21.662092
183,18,6,22.005957
183,19,1,21.379316
183,19,2,21.33124
183,19,3,21.161072
183,19,4,21.304111
183,19,5,20.974812
183,19,6,21.544493
183,20,1,21.590973
183,20,2,21.460722
183,20,3,21.31722
183,20,4,21.477297
183,20,5,21.096779
183,20,6,21.570879
183,21,1,21.52566
183,21,2,21.335064
183,21,3,21.220238
183,21,4,21.378757
183,21,5,21.002213
183,21,6,21.47559
183,22,1,21.935335
183,22,2,21.75719
183,22,3,21.656694
183,22,4,21.833788
183,22,5,21.535114
183,22,6,21.839035
183,23,1,21.713915
183,23,2,21.497936
183,23,3,21.40543
183,23,4,21.567255
183,23,5,21.258156
183,23,6,21.66772
184,0,1,21.481833
184,0,2,21.200897
184,0,3,21.100948
184,0,4,21.301245
184,0,5,20.98768
184,0,6,21.398762
184,1,1,21.743282
184,1,2,21.497473
184,1,3,21.306244
184,1,4,21.617334
184,1,5,21.47543
184,1,6,21.716116
184,2,1,22.4249
184,2,2,22.221462
184,2,3,21.99885
184,2,4,22.351116
184,2,5,22.265171
184,2,6,22.429897
184,3,1,22.10089
184,3,2,21.875242
184,3,3,21.723406
184,3,4,21.957857
184,3,5,21.791872
184,3,6,22.138563
184,4,1,22.093714
184,4,2,21.864273
184,4,3,21.716196
184,4,4,21.957554
184,4,5,21.77342
184,4,6,22.077734
184,5,1,21.856632
184,5,2,21.598944
184,5,3,21.454107
184,5,4,21.697294
184,5,5,21.496809
184,5,6,21.84551
184,6,1,21.829714
184,6,2,21.577457
184,6,3,21.38472
184,6,4,21.692179
184,6,5,21.562393
184,6,6,21.852112
184,7,1,22.447617
184,7,2,22.242369
184,7,3,22.019497
184,7,4,22.371126
184,7,5,22.287584
184,7,6,22.465492
184,8,1,22.56215
184,8,2,22.395983
184,8,3,22.237345
184,8,4,22.467707
184,8,5,22.335314
184,8,6,22.586777
184,9,1,22.487112
184,9,2,22.37898
184,9,3,22.27609
184,9,4,22.4016
184,9,5,22.143682
184,9,6,22.465387
184,10,1,22.00806
184,10,2,22.080275
184,10,3,21.888943
184,10,4,22.038054
184,10,5,21.735918
184,10,6,22.208315
184,11,1,22.022036
184,11,2,22.230661
184,11,3,21.958948
184,11,4,22.12303
184,11,5,21.897186
184,11,6,22.23478
184,12,1,21.832884
184,12,2,22.163048
184,12,3,21.847275
184,12,4,22.00948
184,12,5,21.827137
184,12,6,22.14963
184,13,1,21.687931
184,13,2,22.038122
184,13,3,21.693857
184,13,4,21.878946
184,13,5,21.644049
184,13,6,22.059467
184,14,1,21.52533
184,14,2,21.88918
184,14,3,21.528305
184,14,4,21.72402
184,14,5,21.480152
184,14,6,21.907984
184,15,1,21.678299
184,15,2,22.047132
184,15,3,21.685814
184,15,4,21.891861
184,15,5,21.66411
184,15,6,22.0682
184,16,1,21.102127
184,16,2,21.443876
184,16,3,21.05662
184,16,4,21.258564
184,16,5,21.013971
184,16,6,21.542746
184,17,1,21.151552
184,17,2,21.359047
184,17,3,21.02242
184,17,4,21.258488
184,17,5,20.97576
184,17,6,21.51129
184,18,1,21.139666
184,18,2,21.136028
184,18,3,20.914951
184,18,4,21.098444
184,18,5,20.793566
184,18,6,21.314756
184,19,1,21.63272
184,19,2,21.546831
184,19,3,21.390615
184,19,4,21.561268
184,19,5,21.197956
184,19,6,21.624271
184,20,1,21.507076
184,20,2,21.339134
184,20,3,21.207705
184,20,4,21.359524
184,20,5,20.96904
184,20,6,21.479708
184,21,1,21.991562
184,21,2,21.847183
184,21,3,21.743225
184,21,4,21.907095
184,21,5,21.59938
184,21,6,21.9108
184,22,1,21.529375
184,22,2,21.31836
184,22,3,21.229073
184,22,4,21.372341
184,22,5,21.043423
184,22,6,21.516716
184,23,1,21.466331
184,23,2,21.188606
184,23,3,21.087667
184,23,4,21.293135
184,23,5,20.976337
184,23,6,21.365387
185,0,1,22.192389
185,0,2,22.006737
185,0,3,21.809137
185,0,4,22.11626
185,0,5,22.006945
185,0,6,22.146437
185,1,1,22.304132
185,1,2,22.109453
185,1,3,21.956753
185,1,4,22.192171
185,1,5,22.033594
185,1,6,22.296217
