Day,Hour,Room,Temperature
182,0,1,19.422962
182,0,2,20.095392
182,0,3,19.223646
182,0,4,19.42709
182,0,5,19.330532
182,0,6,19.739698
182,1,1,18.35557
182,1,2,19.017208
182,1,3,18.368967
182,1,4,18.345716
182,1,5,18.33204
182,1,6,18.62263
182,2,1,17.502
182,2,2,18.27527
182,2,3,17.39356
182,2,4,17.297424
182,2,5,17.252777
182,2,6,18.0864
182,3,1,16.264996
182,3,2,16.842112
182,3,3,16.744839
182,3,4,16.611954
182,3,5,16.271103
182,3,6,17.043262
182,4,1,15.4578905
182,4,2,15.763295
182,4,3,15.40657
182,4,4,15.486607
182,4,5,15.382946
182,4,6,15.644037
182,5,1,15.585944
182,5,2,16.108028
182,5,3,16.225767
182,5,4,15.835588
182,5,5,15.531949
182,5,6,15.741103
182,6,1,14.39644
182,6,2,15.326977
182,6,3,14.957484
182,6,4,14.413606
182,6,5,14.860076
182,6,6,15.318878
182,7,1,16.075872
182,7,2,16.828447
182,7,3,16.700947
182,7,4,16.509508
182,7,5,16.113258
182,7,6,16.478374
182,8,1,16.8649
182,8,2,18.010397
182,8,3,17.324057
182,8,4,17.15179
182,8,5,17.752195
182,8,6,17.2488
182,9,1,18.39575
182,9,2,19.423176
182,9,3,18.89914
182,9,4,18.805384
182,9,5,18.788568
182,9,6,18.566685
182,10,1,19.455652
182,10,2,20.234379
182,10,3,19.990412
182,10,4,19.720688
182,10,5,20.067957
182,10,6,19.500444
182,11,1,25.032671
182,11,2,25.529314
182,11,3,25.255436
182,11,4,25.227533
182,11,5,25.076342
182,11,6,24.122889
182,12,1,28.04971
182,12,2,28.440144
182,12,3,27.67244
182,12,4,28.482897
182,12,5,28.157097
182,12,6,27.486464
182,13,1,29.55491
182,13,2,29.88175
182,13,3,29.64721
182,13,4,30.02903
182,13,5,29.542171
182,13,6,29.31291
182,14,1,29.722244
182,14,2,30.214067
182,14,3,29.799454
182,14,4,29.772102
182,14,5,29.387028
182,14,6,29.623625
182,15,1,31.00963
182,15,2,31.09474
182,15,3,30.872513
182,15,4,30.853704
182,15,5,31.035559
182,15,6,30.448736
182,16,1,32.21247
182,16,2,32.259888
182,16,3,31.930082
182,16,4,32.111076
182,16,5,31.953127
182,16,6,31.83441
182,17,1,32.863712
182,17,2,33.240036
182,17,3,32.422836
182,17,4,32.647793
182,17,5,32.70326
182,17,6,32.43922
182,18,1,32.658947
182,18,2,32.330357
182,18,3,32.725887
182,18,4,32.615036
182,18,5,32.264854
182,18,6,32.79865
182,19,1,30.289011
182,19,2,30.317907
182,19,3,30.019487
182,19,4,30.379593
182,19,5,30.092405
182,19,6,30.669815
182,20,1,25.713333
182,20,2,25.66109
182,20,3,25.688889
182,20,4,25.585648
182,20,5,25.148525
182,20,6,26.467974
182,21,1,22.97278
182,21,2,23.43998
182,21,3,22.996927
182,21,4,23.20555
182,21,5,23.482456
182,21,6,23.511606
182,22,1,20.807877
182,22,2,21.039236
182,22,3,20.711922
182,22,4,20.978592
182,22,5,20.79764
182,22,6,21.202229
182,23,1,18.376823
182,23,2,19.028759
182,23,3,18.83811
182,23,4,18.760996
182,23,5,18.4649
182,23,6,18.883228
183,0,1,17.339851
183,0,2,18.094929
183,0,3,17.44002
183,0,4,17.411358
183,0,5,17.876707
183,0,6,17.761953
183,1,1,17.018377
183,1,2,17.652575
183,1,3,17.425127
183,1,4,17.401527
183,1,5,17.335827
183,1,6,17.166267
183,2,1,16.434149
183,2,2,16.908602
183,2,3,16.059845
183,2,4,16.401207
183,2,5,16.47507
183,2,6,16.490847
183,3,1,15.662205
183,3,2,16.412159
183,3,3,15.766316
183,3,4,15.705034
183,3,5,15.477698
183,3,6,15.97976
183,4,1,15.189999
183,4,2,15.514715
183,4,3,15.718276
183,4,4,15.355745
183,4,5,15.161964
183,4,6,15.300615
183,5,1,15.510254
183,5,2,15.790732
183,5,3,15.432704
183,5,4,15.738238
183,5,5,15.496566
183,5,6,15.44512
183,6,1,15.176075
183,6,2,15.622523
183,6,3,15.645015
183,6,4,15.476566
183,6,5,15.534631
183,6,6,15.419436
183,7,1,16.295156
183,7,2,17.02313
183,7,3,16.564709
183,7,4,16.750015
183,7,5,16.48616
183,7,6,16.775587
183,8,1,16.661793
183,8,2,17.439348
183,8,3,16.470758
183,8,4,17.01676
183,8,5,17.385813
183,8,6,17.161627
183,9,1,18.59072
183,9,2,18.990747
183,9,3,19.114166
183,9,4,19.03796
183,9,5,18.256466
183,9,6,18.354834
183,10,1,22.627176
183,10,2,23.411015
183,10,3,23.165066
183,10,4,23.13557
183,10,5,22.909163
183,10,6,22.078964
