Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.907182931900024,10.329188803624776,735861.2861633301,[-22.508978]
4.892421007156372,7.152582662800948,727178.5659790039,[-15.906508]
4.330686092376709,7.402887267371018,688947.9522705078,[-16.780567]
4.267027854919434,7.701589316207294,732743.0896759033,[-17.122892]
4.3115458488464355,7.997866730930077,636402.1501541138,[-17.526108]
4.258883953094482,6.2143339812755585,693463.4017944336,[-14.301482]
4.297905921936035,6.944750698076354,595469.7227478027,[-15.439906]
4.3332178592681885,7.176085114479065,648431.5519332886,[-15.866905]
4.262521743774414,5.3149725331200495,552743.1354522705,[-11.761991]
4.33359694480896,6.2134790768225985,580658.3948135376,[-13.577713]
4.26149320602417,6.460711511472861,558042.6712036133,[-14.131752]
4.3341710567474365,5.903889927599165,513373.498916626,[-13.125222]
4.50265908241272,6.304887162314521,522273.5767364502,[-13.873954]
4.6893720626831055,5.258100320895513,461589.03884887695,[-11.74381]
4.759527921676636,4.248558574252659,487913.11264038086,[-9.634078]
4.734277963638306,4.0268643034829035,450478.70349884033,[-9.090993]
4.718309164047241,3.892967277103,426773.90718460083,[-8.595725]
4.725281000137329,4.500067429410087,418873.4083175659,[-9.879602]
4.587111949920654,4.067165424426396,418242.06256866455,[-9.035623]
4.593449831008911,4.0115746524598865,395910.8123779297,[-8.864045]
4.645071029663086,4.234499593575795,346901.98945999146,[-9.140129]
4.495312213897705,4.373386104901631,417925.5075454712,[-9.430307]
4.357774019241333,3.4329605301221213,370638.2169723511,[-7.5538325]
4.23750114440918,4.150626142819722,404748.50940704346,[-8.992626]
4.1649110317230225,2.5592040419578552,433388.3304595947,[-5.893709]
4.2654709815979,2.790095236566332,404978.78980636597,[-6.254332]
4.156092882156372,2.5351800984806485,423456.45236968994,[-5.703476]
4.1968162059783936,3.0802665087911816,414799.44038391113,[-6.7385583]
4.190663814544678,2.613429228464762,408841.4878845215,[-5.8686967]
4.239492177963257,2.336895684401194,394629.46605682373,[-5.3032146]
4.438690185546875,2.20516934659746,399499.09019470215,[-5.0694566]
4.204004764556885,2.352973699569702,445250.9355545044,[-5.3342853]
4.235924959182739,1.680711759461297,455260.11753082275,[-4.0500264]
4.1780359745025635,1.8734323117468092,389313.4355545044,[-4.324536]
4.233569145202637,2.534799052609338,382872.3793029785,[-5.6014423]
4.180677175521851,1.5023469130198162,380924.9334335327,[-3.5375931]
4.219072103500366,1.5824363761478,385579.76150512695,[-3.6299498]
4.1328041553497314,1.5313964419894748,392467.0114517212,[-3.5527046]
4.215849161148071,1.740231090121799,345721.69303894043,[-3.950081]
4.1920177936553955,1.7387973335054185,376553.02715301514,[-3.9156215]
4.158504962921143,1.5530071126090155,356029.56199645996,[-3.5940497]
4.21787166595459,1.2011154890060425,394960.8402252197,[-2.9003963]
4.174767017364502,1.2303716606563992,369762.4158859253,[-2.8726616]
4.232738018035889,1.2975022262997098,351698.5273361206,[-2.975097]
4.297675848007202,1.0682378212610881,360110.0368499756,[-2.5137236]
4.141334056854248,1.232864883210924,358133.807182312,[-2.9116564]
4.209192991256714,1.0516735580232408,371485.9914779663,[-2.5927212]
4.212779998779297,1.14498057630327,370042.20485687256,[-2.7185156]
4.236349105834961,1.12267009417216,378356.79149627686,[-2.6793585]
4.163321018218994,1.1491463449266222,366875.768661499,[-2.7199652]
4.206563949584961,0.8314360909991794,362690.9418106079,[-2.111123]
4.213671922683716,0.7219207021925185,364263.4496688843,[-1.8187853]
4.226841688156128,0.8584715790218778,352104.65812683105,[-2.0668988]
4.268880844116211,0.9667474031448364,357275.89416503906,[-2.3251004]
4.343352794647217,1.1483880943722196,354384.58251953125,[-2.602354]
4.1630799770355225,0.8338611523310343,365673.4275817871,[-2.002105]
4.213526964187622,0.9000415139728122,353576.3626098633,[-2.156698]
4.154531002044678,1.5427305897076924,314699.82528686523,[-3.6527107]
4.207136154174805,1.519956350326538,305761.0969543457,[-3.6088085]
4.171921968460083,1.1987009445826213,323579.4448852539,[-2.9895108]
4.187893867492676,1.0856256617440119,310478.9938926697,[-2.6623998]
4.168460130691528,3.195868664317661,342006.24084472656,[-6.776486]
4.182962894439697,3.088874227470822,339364.2044067383,[-6.5215735]
4.221702814102173,2.2373181846406727,316044.7850227356,[-4.8331676]
4.2430689334869385,3.0180927515029907,288478.08265686035,[-6.2636757]
4.214301109313965,3.2605474856164722,294061.9869232178,[-6.7481103]
4.205486059188843,2.5944869783189564,289356.60696029663,[-5.448501]
4.242120027542114,2.360116442044576,361742.91038513184,[-5.1626983]
4.2435712814331055,1.5587564441892836,339766.8752670288,[-3.6339903]
4.199729919433594,2.0730401277542114,299104.3539047241,[-4.7278256]
4.194497108459473,2.128230916129218,301773.08988571167,[-4.8059554]
4.171694993972778,1.7221298350228205,319171.612739563,[-3.8276265]
4.194285869598389,3.8815586699379816,337616.3206100464,[-8.433095]
4.162301063537598,3.1324951118893094,350370.85247039795,[-7.0468984]
4.160297870635986,2.772612306806776,347594.25354003906,[-6.2330284]
4.144842147827148,2.5105620357725353,362719.4299697876,[-5.6342106]
4.19248104095459,2.5207253164715238,370676.7816543579,[-5.593334]
4.2185139656066895,1.3626374006271362,386303.26652526855,[-3.4731903]
4.252931833267212,1.3094791968663533,407524.0774154663,[-3.5604887]
4.252779960632324,1.9894571701685588,446498.5513687134,[-4.977458]
4.211881875991821,1.8954554663764105,460000.84495544434,[-4.9285083]
4.220338821411133,2.0680819749832153,459315.372467041,[-5.042558]
4.23866868019104,1.757502794265747,445888.1549835205,[-4.523669]
4.282490253448486,1.7619266774919298,458495.2163696289,[-4.656127]
4.161141872406006,1.7889836894141302,429107.97786712646,[-4.494363]
4.375688314437866,1.5648760398228962,423499.8607635498,[-4.0684943]
4.22289514541626,1.7582017580668132,407254.67109680176,[-4.4309945]
4.207694053649902,1.6616138683425055,425506.6747665405,[-4.2124696]
4.252573251724243,1.7373311122258503,402921.40102386475,[-4.2363114]
4.174140930175781,1.4373102717929416,402733.38413238525,[-3.6784317]
4.190692186355591,1.3956309027141995,403603.3248901367,[-3.5320501]
4.1837382316589355,1.4576678143607245,389581.88915252686,[-3.622097]
4.1917688846588135,1.6344655752182007,385548.47049713135,[-4.0111346]
4.23757791519165,1.7466319070922003,385378.7784576416,[-4.1489067]
4.20954704284668,1.3278206586837769,400215.18421173096,[-3.380474]
4.153516054153442,1.754270871480306,379756.98947906494,[-4.085274]
4.250441074371338,1.6911611689461603,374975.2588272095,[-4.01461]
4.157426834106445,1.4409318102730646,381568.29929351807,[-3.5098698]
4.181956052780151,1.4676916731728449,371564.06021118164,[-3.4583862]
4.1842169761657715,1.1872351964314778,368713.47427368164,[-2.9702778]
4.1931421756744385,1.272543854183621,372970.7794189453,[-3.131985]
4.26820707321167,1.1315838098526,369857.629776001,[-2.8288536]
4.206252813339233,1.1010405355029635,381474.69425201416,[-2.7254019]
4.258819103240967,2.978666616810693,382283.9164733887,[-6.527654]
4.142221212387085,2.3370564447508917,397814.99004364014,[-5.3517685]
4.216040134429932,2.3142551713519626,398305.35888671875,[-5.318055]
4.17677903175354,2.1104497379726834,405121.7670440674,[-4.923133]
4.2367589473724365,1.7212076915635004,412874.7262954712,[-4.1194477]
4.606365919113159,1.3100560241275363,426584.5651626587,[-3.3687136]
4.676246881484985,2.0149806208080716,511461.56883239746,[-4.7527137]
4.645086050033569,2.349470297495524,518843.67752075195,[-5.33269]
4.378906965255737,1.4168112675348918,497398.9734649658,[-3.5223882]
4.4155378341674805,4.324533455901676,440249.6500015259,[-9.09768]
4.420264005661011,2.0765978495279946,590676.0215759277,[-5.2822337]
4.4102959632873535,1.8689300749037001,555557.7087402344,[-4.722194]
4.25277304649353,2.0380578173531427,560068.8667297363,[-4.997506]
4.244355201721191,2.31980162858963,540998.514175415,[-5.484738]
4.516438007354736,2.630460719267527,537596.2467193604,[-6.19092]
4.296287775039673,5.640539473957485,396544.358253479,[-11.7248125]
4.3845460414886475,7.15526741080814,261420.78590393066,[-14.314786]
4.24851393699646,6.874957700570424,296998.9471435547,[-13.767467]
4.232575178146362,5.833195083671146,307039.523601532,[-11.747649]
4.1860949993133545,6.289196968078613,306026.85546875,[-12.697784]
4.211342811584473,5.6499581933021545,308624.5994567871,[-11.411289]
4.279964923858643,5.673056284586589,323121.2615966797,[-11.496766]
4.239060163497925,5.079053554270002,323542.0207977295,[-10.327621]
4.168168783187866,4.651027732425266,340956.6011428833,[-9.527699]
4.178926944732666,4.915379226207733,333338.3550643921,[-9.984742]
4.270364999771118,4.894650763935513,324339.8561477661,[-9.962586]
4.224469900131226,4.319095174471538,343617.6767349243,[-8.840284]
4.186066150665283,3.7868076960245767,339909.704208374,[-7.804728]
4.2074830532073975,4.2356301347414655,342166.9044494629,[-8.682815]
4.234999179840088,4.718930933210585,338440.5755996704,[-9.607222]
4.215687990188599,3.501514646742079,341620.4948425293,[-7.2945285]
4.226974010467529,3.872836728890737,333808.45069885254,[-8.003007]
4.181378126144409,2.6728877623875937,353053.65467071533,[-5.6840167]
4.198232173919678,1.8863544066747029,359737.0014190674,[-4.1737976]
4.268356084823608,2.0952818393707275,359578.30238342285,[-4.526982]
4.20085597038269,1.5356212324566312,364826.18522644043,[-3.5628452]
4.254234075546265,1.4805353879928589,369249.3152618408,[-3.44181]
4.213488817214966,1.1870465675989788,387999.90463256836,[-2.8423088]
4.236037969589233,7.487979584270054,543455.0247192383,[-15.028125]
4.129816770553589,2.7756272819307117,435401.3738632202,[-6.7905107]
4.312315940856934,2.07415591345893,451237.7166748047,[-5.2596297]
4.240322113037109,2.1608712474505105,446770.68519592285,[-5.407871]
4.203662157058716,5.497877683904436,402499.6519088745,[-11.755157]
4.205741882324219,5.267234484354655,393655.90953826904,[-11.34684]
4.2094831466674805,5.539635088708666,367175.087928772,[-11.745126]
4.187874794006348,4.5262342426511974,356312.744140625,[-9.61075]
4.221319913864136,4.02404746082094,350345.4780578613,[-8.773885]
4.233405113220215,3.8720930682288275,348774.9271392822,[-8.490997]
4.423521041870117,3.4593842029571533,362837.2268676758,[-7.7917156]
4.249283075332642,3.482792748345269,355260.74981689453,[-7.729147]
4.238041162490845,2.1844463811980352,348668.7927246094,[-5.22535]
4.240816354751587,2.0346802473068237,364643.80168914795,[-4.869231]
4.323331832885742,1.7785563204023573,341766.8800354004,[-4.2543087]
4.195842027664185,1.8655482000774808,335316.66374206543,[-4.3958507]
4.228774309158325,1.41532297929128,337573.67992401123,[-3.4713624]
4.186894178390503,1.3494639264212713,340846.6339111328,[-3.2567978]
4.168871164321899,5.268771648406982,459621.7517852783,[-11.277608]
4.316812038421631,5.848502185609606,460850.6078720093,[-12.326144]
4.1910130977630615,4.810874382654826,449782.2799682617,[-10.394139]
4.175498008728027,4.434377829233806,440993.04580688477,[-9.718379]
4.223513841629028,3.5892127487394543,429872.25341796875,[-8.081416]
4.29956579208374,2.903309186299642,431586.31324768066,[-6.8107476]
4.134730100631714,2.0118795235951743,406791.9874191284,[-5.0180936]
4.2290568351745605,1.825798922114902,411635.09941101074,[-4.7118573]
4.185039043426514,1.9428501791424222,408275.5527496338,[-4.696625]
4.202955007553101,1.7131268580754597,401137.70961761475,[-4.2276177]
4.240375995635986,1.8259558147854276,381206.2568664551,[-4.335011]
4.224024772644043,1.6691323121388753,379232.25021362305,[-4.086823]
4.274656057357788,1.8183482355541654,383592.04483032227,[-4.4695787]
4.193123817443848,1.7703544431262546,384140.11669158936,[-4.293255]
4.2178449630737305,1.8036763932969835,391201.44176483154,[-4.4075193]
4.214210271835327,1.7435443666246202,387111.75632476807,[-4.1986017]
