Day,Hour,Room,Temperature
1,0,1,22.0
1,0,2,22.0
1,0,3,22.0
1,0,4,22.0
1,0,5,22.0
1,0,6,22.0
1,1,1,22.72582
1,1,2,21.751955
1,1,3,22.166285
1,1,4,21.949287
1,1,5,21.82565
1,1,6,22.034182
1,2,1,22.410362
1,2,2,21.518524
1,2,3,21.912685
1,2,4,21.74852
1,2,5,21.575132
1,2,6,21.772934
1,3,1,22.397472
1,3,2,21.473171
1,3,3,21.903868
1,3,4,21.728027
1,3,5,21.536106
1,3,6,21.743107
1,4,1,22.364029
1,4,2,21.24788
1,4,3,21.7292
1,4,4,21.636284
1,4,5,21.293259
1,4,6,21.632235
1,5,1,22.778273
1,5,2,21.293755
1,5,3,21.774311
1,5,4,21.725706
1,5,5,21.300304
1,5,6,21.791353
1,6,1,23.292353
1,6,2,21.401615
1,6,3,21.851007
1,6,4,21.589167
1,6,5,21.878994
1,6,6,21.743618
1,7,1,23.63307
1,7,2,21.670452
1,7,3,22.072386
1,7,4,21.733065
1,7,5,22.302439
1,7,6,21.896164
1,8,1,22.832806
1,8,2,21.370846
1,8,3,21.744984
1,8,4,21.645731
1,8,5,21.48695
1,8,6,21.736307
1,9,1,24.55597
1,9,2,22.62578
1,9,3,23.08744
1,9,4,22.507713
1,9,5,23.55514
1,9,6,22.641848
1,10,1,21.138489
1,10,2,21.012157
1,10,3,21.360638
1,10,4,20.764471
1,10,5,20.963844
1,10,6,21.280277
1,11,1,22.354437
1,11,2,21.915876
1,11,3,22.43608
1,11,4,22.01681
1,11,5,22.081678
1,11,6,22.15999
1,12,1,22.733868
1,12,2,22.014835
1,12,3,22.443483
1,12,4,22.24269
1,12,5,22.055447
1,12,6,22.210443
1,13,1,22.66288
1,13,2,21.70861
1,13,3,22.031172
1,13,4,21.842537
1,13,5,21.677
1,13,6,21.911722
1,14,1,22.317266
1,14,2,21.509037
1,14,3,21.777828
1,14,4,21.58547
1,14,5,21.421873
1,14,6,21.607138
1,15,1,22.460672
1,15,2,21.612612
1,15,3,21.896965
1,15,4,21.706217
1,15,5,21.55401
1,15,6,21.742376
1,16,1,22.08663
1,16,2,21.302092
1,16,3,21.584303
1,16,4,21.393522
1,16,5,21.238737
1,16,6,21.480274
1,17,1,21.716825
1,17,2,20.982334
1,17,3,21.29519
1,17,4,21.081518
1,17,5,20.92264
1,17,6,21.197115
1,18,1,21.313677
1,18,2,20.602228
1,18,3,20.891521
1,18,4,20.77704
1,18,5,20.497375
1,18,6,20.851992
1,19,1,22.589779
1,19,2,21.683195
1,19,3,22.07617
1,19,4,21.997564
1,19,5,21.76834
1,19,6,21.857756
1,20,1,22.823498
1,20,2,21.96068
1,20,3,22.32342
1,20,4,22.215006
1,20,5,22.045116
1,20,6,22.14343
1,21,1,22.727432
1,21,2,21.826355
1,21,3,22.181398
1,21,4,22.058388
1,21,5,21.89188
1,21,6,22.04422
1,22,1,22.346096
1,22,2,21.447565
1,22,3,21.813364
1,22,4,21.727264
1,22,5,21.508665
1,22,6,21.69609
1,23,1,22.41745
1,23,2,21.518078
1,23,3,21.915638
1,23,4,21.788523
1,23,5,21.590042
1,23,6,21.75737
2,0,1,22.172535
2,0,2,21.229002
2,0,3,21.639847
2,0,4,21.481321
2,0,5,21.283798
2,0,6,21.52351
2,1,1,22.439833
2,1,2,21.38209
2,1,3,21.853176
2,1,4,21.73294
2,1,5,21.439245
2,1,6,21.712685
2,2,1,23.120926
2,2,2,21.827763
2,2,3,22.314762
2,2,4,22.244955
2,2,5,21.879152
2,2,6,22.221163
2,3,1,22.60181
2,3,2,21.69593
2,3,3,22.144304
2,3,4,22.030943
2,3,5,21.766336
2,3,6,21.958414
2,4,1,22.865484
2,4,2,21.933142
2,4,3,22.396687
2,4,4,22.262749
2,4,5,22.019949
2,4,6,22.18038
2,5,1,22.406792
2,5,2,21.476595
2,5,3,21.888348
2,5,4,21.708542
2,5,5,21.535303
2,5,6,21.76271
2,6,1,22.651934
2,6,2,21.661371
2,6,3,22.121492
2,6,4,21.99734
2,6,5,21.729252
2,6,6,21.948454
2,7,1,23.09048
2,7,2,22.19117
2,7,3,22.647749
2,7,4,22.517048
2,7,5,22.287209
2,7,6,22.396702
2,8,1,22.692322
2,8,2,21.802464
2,8,3,22.198347
2,8,4,22.045298
2,8,5,21.875174
2,8,6,22.042955
2,9,1,23.737827
2,9,2,23.1223
2,9,3,23.511063
2,9,4,23.261267
2,9,5,23.225622
2,9,6,23.106508
2,10,1,22.395594
2,10,2,21.759659
2,10,3,22.080105
2,10,4,21.76572
2,10,5,21.6997
2,10,6,21.898937
2,11,1,22.426609
2,11,2,21.831312
2,11,3,22.113676
2,11,4,21.883144
2,11,5,21.762785
2,11,6,21.837559
2,12,1,22.347542
2,12,2,21.717573
2,12,3,21.978258
2,12,4,21.793358
2,12,5,21.656038
2,12,6,21.787903
2,13,1,22.403755
2,13,2,21.759556
2,13,3,21.997173
2,13,4,21.851532
2,13,5,21.703066
2,13,6,21.849043
2,14,1,22.655369
2,14,2,22.021414
2,14,3,22.251598
2,14,4,22.138256
2,14,5,21.980274
2,14,6,22.11355
2,15,1,21.932575
2,15,2,21.187557
2,15,3,21.42971
2,15,4,21.386698
2,15,5,21.128942
2,15,6,21.50338
2,16,1,22.39502
2,16,2,21.894274
2,16,3,22.061996
2,16,4,22.01251
2,16,5,21.8283
2,16,6,21.990608
2,17,1,21.986498
2,17,2,21.492369
2,17,3,21.675537
2,17,4,21.689482
2,17,5,21.438745
2,17,6,21.765013
2,18,1,22.13204
2,18,2,21.720934
2,18,3,21.85331
2,18,4,21.899141
