Day,Hour,Room,Temperature
1,0,1,22.0
1,0,2,22.0
1,0,3,22.0
1,0,4,22.0
1,0,5,22.0
1,0,6,22.0
1,1,1,10.276409
1,1,2,2.8474622
1,1,3,4.957102
1,1,4,6.302096
1,1,5,3.806011
1,1,6,5.687398
1,2,1,5.281916
1,2,2,5.356252
1,2,3,4.671959
1,2,4,6.284505
1,2,5,5.7964907
1,2,6,3.7447023
1,3,1,10.7944145
1,3,2,5.4843884
1,3,3,5.5411673
1,3,4,7.4489594
1,3,5,6.356531
1,3,6,4.9333496
1,4,1,7.3081536
1,4,2,3.4753757
1,4,3,5.234545
1,4,4,4.9011073
1,4,5,4.7319794
1,4,6,3.0408869
1,5,1,8.153415
1,5,2,5.0021596
1,5,3,3.19788
1,5,4,6.2020636
1,5,5,3.0119495
1,5,6,4.5528502
1,6,1,9.929182
1,6,2,7.70144
1,6,3,8.99998
1,6,4,6.3985205
1,6,5,4.823421
1,6,6,4.805101
1,7,1,12.935884
1,7,2,9.839629
1,7,3,9.014174
1,7,4,6.4373856
1,7,5,10.09348
1,7,6,6.201335
1,8,1,8.2808
1,8,2,2.926815
1,8,3,2.7220569
1,8,4,4.067598
1,8,5,1.8140947
1,8,6,2.6184182
1,9,1,4.7252984
1,9,2,5.2634535
1,9,3,4.1573358
1,9,4,5.502616
1,9,5,2.4058955
1,9,6,3.5100167
1,10,1,8.0853815
1,10,2,2.1119592
1,10,3,4.5815973
1,10,4,4.1815825
1,10,5,3.079301
1,10,6,2.2997832
1,11,1,9.269717
1,11,2,5.640834
1,11,3,8.598623
1,11,4,8.694453
1,11,5,10.576148
1,11,6,7.5786805
1,12,1,5.9041595
1,12,2,3.8470917
1,12,3,4.269767
1,12,4,4.695043
1,12,5,4.776368
1,12,6,5.2977195
1,13,1,7.7603827
1,13,2,8.374965
1,13,3,10.223676
1,13,4,8.449979
1,13,5,10.379195
1,13,6,9.458743
1,14,1,6.1038647
1,14,2,7.847647
1,14,3,7.7506275
1,14,4,6.4129815
1,14,5,8.455765
1,14,6,7.0145144
1,15,1,5.872141
1,15,2,6.9195194
1,15,3,8.517142
1,15,4,5.880038
1,15,5,9.210842
1,15,6,8.18702
1,16,1,5.532276
1,16,2,6.2236395
1,16,3,7.5957975
1,16,4,6.5178375
1,16,5,6.3926673
1,16,6,6.7026405
1,17,1,7.0640516
1,17,2,5.8780394
1,17,3,10.375062
1,17,4,7.284175
1,17,5,7.0679183
1,17,6,7.59389
1,18,1,4.3152986
1,18,2,4.6891584
1,18,3,5.9597206
1,18,4,6.413701
1,18,5,4.8087883
1,18,6,4.7068357
1,19,1,4.7320676
1,19,2,4.266824
1,19,3,5.5161395
1,19,4,6.88656
1,19,5,6.373291
1,19,6,6.7021656
1,20,1,10.218387
1,20,2,10.350412
1,20,3,10.748611
1,20,4,9.832901
1,20,5,8.837183
1,20,6,9.753841
1,21,1,7.603556
1,21,2,5.8639774
1,21,3,5.326379
1,21,4,4.004176
1,21,5,5.818132
1,21,6,5.4520946
1,22,1,7.4755397
1,22,2,7.5445056
1,22,3,7.4660797
1,22,4,9.555014
1,22,5,10.102143
1,22,6,7.8313613
1,23,1,5.1088734
1,23,2,-0.9039823
1,23,3,2.3697789
1,23,4,1.7682166
1,23,5,1.2725047
1,23,6,1.1180185
2,0,1,3.224686
2,0,2,6.5817904
2,0,3,4.204478
2,0,4,5.337375
2,0,5,4.2761993
2,0,6,3.6988018
2,1,1,8.613527
2,1,2,4.645718
2,1,3,7.3674207
2,1,4,3.8254802
2,1,5,4.2390223
2,1,6,5.1805053
2,2,1,6.547715
2,2,2,6.7262926
2,2,3,6.848019
2,2,4,4.311628
2,2,5,4.5190587
2,2,6,3.5865629
2,3,1,7.973336
2,3,2,4.490736
2,3,3,4.4229493
2,3,4,4.0237145
2,3,5,5.613919
2,3,6,4.079553
2,4,1,7.713519
2,4,2,5.0051126
2,4,3,3.8704472
2,4,4,4.83631
2,4,5,6.050179
2,4,6,5.9179835
2,5,1,11.528257
2,5,2,8.176705
2,5,3,6.13126
2,5,4,10.005151
2,5,5,10.485003
2,5,6,6.5458546
2,6,1,12.457458
2,6,2,6.466915
2,6,3,7.831545
2,6,4,7.9889636
2,6,5,3.578662
2,6,6,5.39578
2,7,1,8.902695
2,7,2,8.413892
2,7,3,6.712627
2,7,4,6.759998
2,7,5,5.0597706
2,7,6,4.7720046
2,8,1,3.1421995
2,8,2,0.5825005
2,8,3,1.0972645
2,8,4,2.988742
2,8,5,2.2488604
2,8,6,3.1413887
2,9,1,9.942266
2,9,2,11.689793
2,9,3,10.333231
2,9,4,10.677906
2,9,5,11.74503
2,9,6,8.480159
2,10,1,21.83597
2,10,2,21.42262
2,10,3,20.910582
2,10,4,21.957325
2,10,5,21.441492
2,10,6,20.42979
2,11,1,27.203224
2,11,2,28.549753
2,11,3,30.961666
2,11,4,26.4893
2,11,5,30.581348
2,11,6,19.648087
2,12,1,29.694296
2,12,2,27.548672
2,12,3,31.604118
2,12,4,30.196579
2,12,5,30.066612
2,12,6,23.688763
2,13,1,36.77706
2,13,2,34.282288
2,13,3,34.207882
2,13,4,36.013435
2,13,5,35.80112
2,13,6,33.49782
2,14,1,28.5421
2,14,2,27.876335
2,14,3,27.66718
2,14,4,27.592825
2,14,5,27.888668
2,14,6,27.689152
2,15,1,32.03537
2,15,2,29.946585
2,15,3,31.149828
2,15,4,31.021744
2,15,5,31.283644
2,15,6,31.255058
2,16,1,36.22339
2,16,2,34.308437
2,16,3,38.598255
2,16,4,34.789368
2,16,5,37.086723
2,16,6,34.50526
2,17,1,37.332897
2,17,2,33.519398
