Day,Hour,Room,Temperature
182,0,1,22.0
182,0,2,22.0
182,0,3,22.0
182,0,4,22.0
182,0,5,22.0
182,0,6,22.0
182,1,1,22.72582
182,1,2,21.751955
182,1,3,22.166285
182,1,4,21.949287
182,1,5,21.82565
182,1,6,22.034182
182,2,1,22.410362
182,2,2,21.518524
182,2,3,21.912685
182,2,4,21.74852
182,2,5,21.575132
182,2,6,21.772934
182,3,1,22.397472
182,3,2,21.473171
182,3,3,21.903868
182,3,4,21.728027
182,3,5,21.536106
182,3,6,21.743107
182,4,1,22.364029
182,4,2,21.24788
182,4,3,21.7292
182,4,4,21.636284
182,4,5,21.293259
182,4,6,21.632235
182,5,1,22.778273
182,5,2,21.293755
182,5,3,21.774311
182,5,4,21.725706
182,5,5,21.300304
182,5,6,21.791353
182,6,1,23.292353
182,6,2,21.401615
182,6,3,21.851007
182,6,4,21.589167
182,6,5,21.878994
182,6,6,21.743618
182,7,1,23.63307
182,7,2,21.670452
182,7,3,22.072386
182,7,4,21.733065
182,7,5,22.302439
182,7,6,21.896164
182,8,1,22.832806
182,8,2,21.370846
182,8,3,21.744984
182,8,4,21.645731
182,8,5,21.48695
182,8,6,21.736307
182,9,1,24.55597
182,9,2,22.62578
182,9,3,23.08744
182,9,4,22.507713
182,9,5,23.55514
182,9,6,22.641848
182,10,1,21.138489
182,10,2,21.012157
182,10,3,21.360638
182,10,4,20.764471
182,10,5,20.963844
182,10,6,21.280277
182,11,1,22.354437
182,11,2,21.915876
182,11,3,22.43608
182,11,4,22.01681
182,11,5,22.081678
182,11,6,22.15999
182,12,1,22.733868
182,12,2,22.014835
182,12,3,22.443483
182,12,4,22.24269
182,12,5,22.055447
182,12,6,22.210443
182,13,1,22.66288
182,13,2,21.70861
182,13,3,22.031172
182,13,4,21.842537
182,13,5,21.677
182,13,6,21.911722
182,14,1,22.317266
182,14,2,21.509037
182,14,3,21.777828
182,14,4,21.58547
182,14,5,21.421873
182,14,6,21.607138
182,15,1,22.460672
182,15,2,21.612612
182,15,3,21.896965
182,15,4,21.706217
182,15,5,21.55401
182,15,6,21.742376
182,16,1,22.08663
182,16,2,21.302092
182,16,3,21.584303
182,16,4,21.393522
182,16,5,21.238737
182,16,6,21.480274
182,17,1,21.716825
182,17,2,20.982334
182,17,3,21.29519
182,17,4,21.081518
182,17,5,20.92264
182,17,6,21.197115
182,18,1,21.313677
182,18,2,20.602228
182,18,3,20.891521
182,18,4,20.77704
182,18,5,20.497375
182,18,6,20.851992
182,19,1,22.589779
182,19,2,21.683195
182,19,3,22.07617
182,19,4,21.997564
182,19,5,21.76834
182,19,6,21.857756
182,20,1,22.823498
182,20,2,21.96068
182,20,3,22.32342
182,20,4,22.215006
182,20,5,22.045116
182,20,6,22.14343
182,21,1,22.727432
182,21,2,21.826355
182,21,3,22.181398
182,21,4,22.058388
182,21,5,21.89188
182,21,6,22.04422
182,22,1,22.346096
182,22,2,21.447565
182,22,3,21.813364
182,22,4,21.727264
182,22,5,21.508665
182,22,6,21.69609
182,23,1,22.41745
182,23,2,21.518078
182,23,3,21.915638
182,23,4,21.788523
182,23,5,21.590042
182,23,6,21.75737
183,0,1,22.172535
183,0,2,21.229002
183,0,3,21.639847
183,0,4,21.481321
183,0,5,21.283798
183,0,6,21.52351
183,1,1,22.439833
183,1,2,21.38209
183,1,3,21.853176
183,1,4,21.73294
183,1,5,21.439245
183,1,6,21.712685
183,2,1,23.120926
183,2,2,21.827763
183,2,3,22.314762
183,2,4,22.244955
183,2,5,21.879152
183,2,6,22.221163
183,3,1,22.60181
183,3,2,21.69593
183,3,3,22.144304
183,3,4,22.030943
183,3,5,21.766336
183,3,6,21.958414
183,4,1,22.865484
183,4,2,21.933142
183,4,3,22.396687
183,4,4,22.262749
183,4,5,22.019949
183,4,6,22.18038
183,5,1,22.406792
183,5,2,21.476595
183,5,3,21.888348
183,5,4,21.708542
183,5,5,21.535303
183,5,6,21.76271
183,6,1,22.651934
183,6,2,21.661371
183,6,3,22.121492
183,6,4,21.99734
183,6,5,21.729252
183,6,6,21.948454
183,7,1,23.09048
183,7,2,22.19117
183,7,3,22.647749
183,7,4,22.517048
183,7,5,22.287209
183,7,6,22.396702
183,8,1,22.692322
183,8,2,21.802464
183,8,3,22.198347
183,8,4,22.045298
183,8,5,21.875174
183,8,6,22.042955
183,9,1,23.737827
183,9,2,23.1223
183,9,3,23.511063
183,9,4,23.261267
183,9,5,23.225622
183,9,6,23.106508
183,10,1,22.395594
183,10,2,21.759659
183,10,3,22.080105
183,10,4,21.76572
183,10,5,21.6997
183,10,6,21.898937
183,11,1,22.426609
183,11,2,21.831312
183,11,3,22.113676
183,11,4,21.883144
183,11,5,21.762785
183,11,6,21.837559
183,12,1,22.347542
183,12,2,21.717573
183,12,3,21.978258
183,12,4,21.793358
183,12,5,21.656038
183,12,6,21.787903
183,13,1,22.403755
183,13,2,21.759556
183,13,3,21.997173
183,13,4,21.851532
183,13,5,21.703066
183,13,6,21.849043
183,14,1,22.655369
183,14,2,22.021414
183,14,3,22.251598
183,14,4,22.138256
183,14,5,21.980274
183,14,6,22.11355
183,15,1,21.932575
183,15,2,21.187557
183,15,3,21.42971
183,15,4,21.386698
183,15,5,21.128942
183,15,6,21.50338
183,16,1,22.39502
183,16,2,21.894274
183,16,3,22.061996
183,16,4,22.01251
183,16,5,21.8283
183,16,6,21.990608
183,17,1,21.986498
183,17,2,21.492369
183,17,3,21.675537
183,17,4,21.689482
183,17,5,21.438745
183,17,6,21.765013
183,18,1,22.13204
183,18,2,21.720934
183,18,3,21.85331
183,18,4,21.899141
183,18,5,21.64706
183,18,6,21.895237
183,19,1,22.577984
183,19,2,21.371347
183,19,3,21.774723
183,19,4,21.754213
183,19,5,21.374983
183,19,6,21.626621
183,20,1,22.733538
183,20,2,21.661974
183,20,3,22.110321
183,20,4,22.093203
183,20,5,21.766521
183,20,6,21.768517
183,21,1,22.51089
183,21,2,21.611752
183,21,3,21.957895
183,21,4,21.905956
183,21,5,21.656
183,21,6,21.810818
183,22,1,22.931023
183,22,2,22.091736
183,22,3,22.440617
183,22,4,22.345396
183,22,5,22.173502
183,22,6,22.243448
183,23,1,22.722528
183,23,2,21.839376
183,23,3,22.175854
183,23,4,22.069565
183,23,5,21.894527
183,23,6,22.043987
184,0,1,22.45731
184,0,2,21.553288
184,0,3,21.90764
184,0,4,21.799282
184,0,5,21.610285
184,0,6,21.797035
184,1,1,22.567184
184,1,2,21.707844
184,1,3,22.085457
184,1,4,21.996136
184,1,5,21.788351
184,1,6,21.906467
184,2,1,23.223103
184,2,2,22.421938
184,2,3,22.80348
184,2,4,22.683084
184,2,5,22.53297
184,2,6,22.537249
184,3,1,22.90239
184,3,2,22.026348
184,3,3,22.3738
184,3,4,22.257042
184,3,5,22.094307
184,3,6,22.21836
184,4,1,22.873495
184,4,2,22.026846
184,4,3,22.379288
184,4,4,22.277397
184,4,5,22.105473
184,4,6,22.202156
184,5,1,22.65379
184,5,2,21.76526
184,5,3,22.126043
184,5,4,22.02161
184,5,5,21.833765
184,5,6,21.983692
184,6,1,22.57397
184,6,2,21.70998
184,6,3,22.085363
184,6,4,21.999693
184,6,5,21.789083
184,6,6,21.916273
184,7,1,23.222628
184,7,2,22.422312
184,7,3,22.803293
184,7,4,22.68321
184,7,5,22.533108
184,7,6,22.537357
184,8,1,23.360481
184,8,2,22.544107
184,8,3,22.885054
184,8,4,22.764334
184,8,5,22.634449
184,8,6,22.659342
184,9,1,23.120865
184,9,2,22.420576
184,9,3,22.731586
184,9,4,22.551603
184,9,5,22.46839
184,9,6,22.507153
184,10,1,22.582615
184,10,2,22.035013
184,10,3,22.306908
184,10,4,22.102484
184,10,5,21.95958
184,10,6,22.019861
184,11,1,22.750648
184,11,2,22.263472
184,11,3,22.497791
184,11,4,22.327953
184,11,5,22.205978
184,11,6,22.20132
184,12,1,22.722033
184,12,2,22.120098
184,12,3,22.343353
184,12,4,22.282887
184,12,5,22.067606
184,12,6,22.206339
184,13,1,22.538849
184,13,2,21.86501
184,13,3,22.108536
184,13,4,22.070013
184,13,5,21.838076
184,13,6,22.10183
184,14,1,22.381046
184,14,2,21.766117
184,14,3,22.000664
184,14,4,21.974064
184,14,5,21.737118
184,14,6,22.0376
184,15,1,22.49782
184,15,2,21.866165
184,15,3,22.108948
184,15,4,22.07562
184,15,5,21.863008
184,15,6,22.168306
184,16,1,22.264091
184,16,2,21.76226
184,16,3,21.963043
184,16,4,22.028454
184,16,5,21.693098
184,16,6,22.072023
184,17,1,22.047186
184,17,2,21.55751
184,17,3,21.748875
184,17,4,21.824833
184,17,5,21.488176
184,17,6,21.901886
184,18,1,21.513786
184,18,2,20.973158
184,18,3,21.134941
184,18,4,21.205685
184,18,5,20.878075
184,18,6,21.327658
184,19,1,22.880053
184,19,2,21.663095
184,19,3,22.143175
184,19,4,22.08159
184,19,5,21.75169
184,19,6,21.807781
184,20,1,22.57364
184,20,2,21.685383
184,20,3,22.015234
184,20,4,22.009779
184,20,5,21.71844
184,20,6,21.841564
184,21,1,22.963072
184,21,2,22.098146
184,21,3,22.44607
184,21,4,22.357584
184,21,5,22.16698
184,21,6,22.246702
184,22,1,22.5111
184,22,2,21.587273
184,22,3,21.922728
184,22,4,21.82512
184,22,5,21.619297
184,22,6,21.822828
184,23,1,22.443157
184,23,2,21.552807
184,23,3,21.91204
184,23,4,21.813135
184,23,5,21.617249
184,23,6,21.784657
185,0,1,23.0269
185,0,2,22.221874
185,0,3,22.595627
185,0,4,22.501184
185,0,5,22.326105
185,0,6,22.347178
185,1,1,23.12778
185,1,2,22.277794
185,1,3,22.634144
185,1,4,22.516186
185,1,5,22.365282
185,1,6,22.433945
