Day,Hour,Room,Temperature
182,0,1,5.57718
182,0,2,9.367101
182,0,3,7.121466
182,0,4,9.5722
182,0,5,8.348907
182,0,6,8.419038
182,1,1,8.687184
182,1,2,11.233679
182,1,3,8.14306
182,1,4,10.950666
182,1,5,11.632815
182,1,6,10.239926
182,2,1,6.3013115
182,2,2,8.379527
182,2,3,7.8676677
182,2,4,7.5126057
182,2,5,8.404338
182,2,6,7.464196
182,3,1,4.0810056
182,3,2,7.051923
182,3,3,7.0585017
182,3,4,5.733431
182,3,5,8.26685
182,3,6,6.194985
182,4,1,6.57168
182,4,2,10.553419
182,4,3,8.796904
182,4,4,8.093177
182,4,5,9.939342
182,4,6,7.0739594
182,5,1,6.948629
182,5,2,10.668019
182,5,3,9.261116
182,5,4,9.231321
182,5,5,9.813476
182,5,6,7.107005
182,6,1,5.119841
182,6,2,6.3658986
182,6,3,7.0645914
182,6,4,5.027664
182,6,5,8.173327
182,6,6,6.4488854
182,7,1,8.136055
182,7,2,11.089245
182,7,3,8.195651
182,7,4,11.119501
182,7,5,10.552426
182,7,6,8.681021
182,8,1,1.5026721
182,8,2,5.271734
182,8,3,4.545624
182,8,4,3.7464252
182,8,5,6.1303973
182,8,6,4.4943175
182,9,1,6.5205035
182,9,2,8.362041
182,9,3,10.971663
182,9,4,10.697136
182,9,5,11.622824
182,9,6,8.072399
182,10,1,20.322847
182,10,2,19.247116
182,10,3,20.206045
182,10,4,20.255188
182,10,5,19.890703
182,10,6,19.504978
182,11,1,34.874027
182,11,2,35.538498
182,11,3,35.704933
182,11,4,36.13665
182,11,5,36.193638
182,11,6,31.890944
182,12,1,41.11877
182,12,2,37.77895
182,12,3,41.017666
182,12,4,38.941315
182,12,5,38.605484
182,12,6,37.418125
182,13,1,36.39598
182,13,2,34.973385
182,13,3,35.348194
182,13,4,35.15184
182,13,5,33.98677
182,13,6,35.095543
182,14,1,28.44236
182,14,2,26.371561
182,14,3,25.55825
182,14,4,26.651073
182,14,5,25.841726
182,14,6,26.635069
182,15,1,30.841831
182,15,2,30.265947
182,15,3,30.852665
182,15,4,30.484018
182,15,5,30.28768
182,15,6,29.304893
182,16,1,35.874966
182,16,2,35.177082
182,16,3,37.399353
182,16,4,35.980423
182,16,5,36.11207
182,16,6,36.170036
182,17,1,40.29396
182,17,2,39.159718
182,17,3,41.681423
182,17,4,39.34441
182,17,5,40.199585
182,17,6,40.254402
182,18,1,39.367653
182,18,2,37.03198
182,18,3,37.977444
182,18,4,37.182247
182,18,5,36.304626
182,18,6,36.969913
182,19,1,26.044662
182,19,2,23.017078
182,19,3,23.643936
182,19,4,25.177338
182,19,5,23.59138
182,19,6,24.90132
182,20,1,10.217551
182,20,2,11.1343
182,20,3,11.709055
182,20,4,11.767878
182,20,5,8.268717
182,20,6,11.137209
182,21,1,5.8837657
182,21,2,11.735065
182,21,3,6.7890334
182,21,4,8.84382
182,21,5,11.797806
182,21,6,8.692019
182,22,1,8.460104
182,22,2,9.531497
182,22,3,9.259302
182,22,4,11.629291
182,22,5,11.855689
182,22,6,9.250325
182,23,1,5.8401966
182,23,2,10.042929
182,23,3,6.511859
182,23,4,7.8391585
182,23,5,9.292293
182,23,6,7.928663
183,0,1,5.876264
183,0,2,9.6365795
183,0,3,7.4851804
183,0,4,9.980385
183,0,5,10.591098
183,0,6,8.64787
183,1,1,9.898891
183,1,2,11.31562
183,1,3,8.625692
183,1,4,10.97212
183,1,5,11.475777
183,1,6,8.926633
183,2,1,4.3647156
183,2,2,6.8666334
183,2,3,5.9655213
183,2,4,7.4919147
183,2,5,6.928181
183,2,6,6.467246
183,3,1,1.2569728
183,3,2,4.481067
183,3,3,1.3475813
183,3,4,1.1722081
183,3,5,3.2790403
183,3,6,2.3414955
183,4,1,4.5360603
183,4,2,7.659331
183,4,3,5.499709
183,4,4,5.6171966
183,4,5,6.7834883
183,4,6,6.9898996
183,5,1,4.252675
183,5,2,8.770954
183,5,3,6.007759
183,5,4,5.165702
183,5,5,6.514966
183,5,6,7.5529304
183,6,1,7.2953253
183,6,2,10.087208
183,6,3,7.8809013
183,6,4,8.779329
183,6,5,9.860394
183,6,6,8.331251
183,7,1,7.4227543
183,7,2,10.571289
183,7,3,10.816598
183,7,4,8.934756
183,7,5,10.026427
183,7,6,9.515896
183,8,1,7.0427594
183,8,2,8.374381
183,8,3,9.193678
183,8,4,8.230075
183,8,5,12.056439
183,8,6,8.036452
183,9,1,7.895496
183,9,2,9.855918
183,9,3,8.786552
183,9,4,9.393733
183,9,5,9.94277
183,9,6,9.771327
183,10,1,25.29344
183,10,2,26.222462
183,10,3,25.475662
183,10,4,25.6
183,10,5,26.580194
183,10,6,23.318188
183,11,1,39.448586
183,11,2,37.54615
183,11,3,37.27307
183,11,4,39.006626
183,11,5,39.401146
183,11,6,35.963615
183,12,1,40.059658
183,12,2,36.126736
183,12,3,38.209152
183,12,4,40.114395
183,12,5,40.30493
183,12,6,38.365654
183,13,1,35.64781
183,13,2,34.156513
183,13,3,34.923256
183,13,4,34.754017
183,13,5,33.696198
183,13,6,35.279488
183,14,1,27.087608
183,14,2,25.68933
183,14,3,27.009672
183,14,4,26.520428
183,14,5,25.58643
183,14,6,26.550177
183,15,1,34.49086
183,15,2,33.590153
183,15,3,34.32739
183,15,4,35.059273
183,15,5,33.749992
183,15,6,33.439224
183,16,1,41.686073
183,16,2,38.68913
183,16,3,40.560425
183,16,4,40.56974
183,16,5,39.531723
183,16,6,39.746758
183,17,1,40.521225
183,17,2,37.5358
183,17,3,39.754185
183,17,4,39.855953
183,17,5,37.673767
183,17,6,38.79647
183,18,1,42.01015
183,18,2,39.914307
183,18,3,39.92615
183,18,4,40.710194
183,18,5,38.882133
183,18,6,38.54049
183,19,1,25.989668
183,19,2,24.301575
183,19,3,25.516834
183,19,4,26.510412
183,19,5,23.354355
183,19,6,24.200018
183,20,1,9.578929
183,20,2,9.377107
183,20,3,7.816274
183,20,4,8.559281
183,20,5,8.858764
183,20,6,10.049831
183,21,1,9.87036
183,21,2,13.930735
183,21,3,11.604401
183,21,4,12.588876
183,21,5,14.302921
183,21,6,10.757646
183,22,1,4.1575193
183,22,2,7.7265167
183,22,3,4.566696
183,22,4,6.0426965
183,22,5,6.2356157
183,22,6,5.5764146
183,23,1,4.0543046
183,23,2,7.3367343
183,23,3,5.8737307
183,23,4,7.536688
183,23,5,5.972184
183,23,6,7.223234
184,0,1,3.7503417
184,0,2,7.470152
184,0,3,6.6397905
184,0,4,8.853728
184,0,5,5.3499284
184,0,6,6.013625
184,1,1,8.493961
184,1,2,11.360991
184,1,3,11.576861
184,1,4,9.948327
184,1,5,10.821151
184,1,6,9.994692
184,2,1,6.2505555
184,2,2,10.536387
184,2,3,8.590945
184,2,4,7.0922384
184,2,5,9.688648
184,2,6,7.5431952
184,3,1,6.086115
184,3,2,9.005021
184,3,3,7.77056
184,3,4,8.399804
184,3,5,6.483102
184,3,6,7.006328
184,4,1,5.5716224
184,4,2,7.909041
184,4,3,9.825184
184,4,4,7.415959
184,4,5,6.4271255
184,4,6,7.819275
184,5,1,4.8315754
184,5,2,8.11552
184,5,3,7.5951166
184,5,4,6.6617684
184,5,5,5.982766
184,5,6,6.525904
184,6,1,3.2622757
184,6,2,7.4846606
184,6,3,7.0479083
184,6,4,5.570809
184,6,5,3.80779
184,6,6,7.4900293
184,7,1,6.014653
184,7,2,9.650716
184,7,3,7.1959605
184,7,4,9.551665
184,7,5,7.7337847
184,7,6,7.5005684
184,8,1,7.6424313
184,8,2,10.338232
184,8,3,6.7676296
184,8,4,8.091355
184,8,5,11.310646
184,8,6,10.073139
184,9,1,7.786608
184,9,2,12.292674
184,9,3,13.193307
184,9,4,10.466115
184,9,5,12.434114
184,9,6,9.053838
184,10,1,25.508287
184,10,2,23.299013
184,10,3,26.12891
184,10,4,25.182194
184,10,5,24.310703
184,10,6,22.857435
184,11,1,34.966213
184,11,2,35.116016
184,11,3,33.113792
184,11,4,33.292587
184,11,5,35.250393
184,11,6,30.298601
184,12,1,43.016327
184,12,2,40.656174
184,12,3,42.243477
184,12,4,42.750076
184,12,5,40.26681
184,12,6,39.429615
184,13,1,38.59885
184,13,2,37.43395
184,13,3,37.72649
184,13,4,37.974705
184,13,5,38.06657
184,13,6,36.721035
184,14,1,28.53937
184,14,2,25.909178
184,14,3,24.397526
184,14,4,28.530973
184,14,5,25.301231
184,14,6,24.6916
184,15,1,34.914043
184,15,2,34.38877
184,15,3,34.28771
184,15,4,34.204605
184,15,5,34.92586
184,15,6,33.1427
184,16,1,37.886093
184,16,2,35.73613
184,16,3,37.93574
184,16,4,37.93037
184,16,5,36.112038
184,16,6,37.60099
184,17,1,42.06384
184,17,2,39.58962
184,17,3,40.795918
184,17,4,40.22692
184,17,5,41.705425
184,17,6,40.432045
184,18,1,40.4271
184,18,2,37.630863
184,18,3,39.429745
184,18,4,38.565056
184,18,5,38.939953
184,18,6,39.053566
184,19,1,24.661636
184,19,2,22.80303
184,19,3,24.675825
184,19,4,23.336124
184,19,5,21.95926
184,19,6,24.02586
184,20,1,10.324306
184,20,2,10.305253
184,20,3,13.473289
184,20,4,11.495737
184,20,5,11.259393
184,20,6,11.138793
184,21,1,5.300815
184,21,2,9.975444
184,21,3,6.410461
184,21,4,8.71686
184,21,5,10.863171
184,21,6,7.555362
184,22,1,3.979592
184,22,2,7.7256145
184,22,3,6.3969226
184,22,4,8.321205
184,22,5,9.059269
184,22,6,8.000566
184,23,1,4.5375566
184,23,2,8.45341
184,23,3,7.097305
184,23,4,8.503167
184,23,5,7.1000795
184,23,6,7.432036
185,0,1,5.173599
185,0,2,9.187277
185,0,3,5.355353
185,0,4,8.630184
185,0,5,8.213943
185,0,6,6.896414
185,1,1,3.482504
185,1,2,7.356632
185,1,3,7.5163713
185,1,4,7.3573737
185,1,5,6.056269
185,1,6,7.252807
185,2,1,7.273401
185,2,2,10.386149
185,2,3,8.243665
185,2,4,10.899055
185,2,5,11.430102
185,2,6,10.059967
185,3,1,5.3121
185,3,2,8.947129
185,3,3,7.792588
185,3,4,6.280077
185,3,5,7.2958746
185,3,6,6.4893174
185,4,1,6.371569
185,4,2,8.294033
185,4,3,6.6292996
185,4,4,7.855098
185,4,5,9.2594185
185,4,6,8.031007
185,5,1,5.692915
185,5,2,10.079377
185,5,3,7.624823
185,5,4,7.8299904
185,5,5,6.732765
185,5,6,8.898176
185,6,1,6.962013
185,6,2,9.304183
185,6,3,9.5959215
185,6,4,10.487023
185,6,5,7.9309382
185,6,6,8.397814
185,7,1,5.6136503
185,7,2,7.9855256
185,7,3,8.5655775
185,7,4,6.2169075
185,7,5,6.110971
185,7,6,7.603674
185,8,1,3.4816146
185,8,2,6.7555714
185,8,3,4.9753876
185,8,4,6.6686673
185,8,5,5.7566276
185,8,6,5.9186964
185,9,1,4.812528
185,9,2,8.3080435
185,9,3,5.0603547
185,9,4,5.971927
185,9,5,7.3257303
185,9,6,6.4708185
185,10,1,3.4562583
185,10,2,6.462862
185,10,3,4.2401547
185,10,4,6.264196
185,10,5,4.3602633
185,10,6,5.1656466
185,11,1,3.4922469
185,11,2,5.5332694
185,11,3,7.8085055
185,11,4,5.328069
185,11,5,6.589906
185,11,6,5.8063602
185,12,1,5.208201
185,12,2,9.920606
185,12,3,6.0222316
185,12,4,7.868696
185,12,5,8.652032
185,12,6,6.1709967
185,13,1,2.3467112
185,13,2,4.46881
185,13,3,2.314484
185,13,4,3.494831
185,13,5,5.204089
185,13,6,3.9326644
185,14,1,6.385342
185,14,2,11.6275425
185,14,3,7.7956405
185,14,4,8.523426
185,14,5,9.601641
185,14,6,9.641201
185,15,1,5.501946
185,15,2,6.9943066
185,15,3,8.873295
185,15,4,6.7639
185,15,5,6.676
185,15,6,7.0413938
185,16,1,2.3353121
185,16,2,5.949742
185,16,3,4.0890913
185,16,4,5.3241353
185,16,5,7.922019
185,16,6,5.325375
185,17,1,4.83866
185,17,2,7.6502876
185,17,3,7.4737964
185,17,4,7.260949
185,17,5,6.180848
185,17,6,6.759941
185,18,1,5.727221
185,18,2,7.372398
185,18,3,2.7742007
185,18,4,7.33474
185,18,5,12.274394
185,18,6,7.829215
185,19,1,5.3204107
185,19,2,6.8783803
185,19,3,7.5388393
185,19,4,9.024122
185,19,5,6.5679374
185,19,6,6.9501886
185,20,1,2.7423291
185,20,2,7.946119
185,20,3,6.2478113
185,20,4,4.642023
185,20,5,6.692442
185,20,6,7.1497183
185,21,1,5.6230445
185,21,2,11.454594
185,21,3,9.113255
185,21,4,9.226779
185,21,5,9.535347
185,21,6,8.488749
185,22,1,4.009733
185,22,2,9.163298
185,22,3,6.017919
185,22,4,6.954835
185,22,5,7.5418286
185,22,6,6.636892
185,23,1,6.083972
185,23,2,11.965754
185,23,3,8.213915
185,23,4,9.723671
185,23,5,9.437793
185,23,6,7.7904043
186,0,1,7.226762
186,0,2,10.309768
186,0,3,10.622605
186,0,4,13.778561
186,0,5,11.621716
186,0,6,9.224429
186,1,1,5.1462164
186,1,2,7.6336985
186,1,3,6.9325385
186,1,4,7.4920187
186,1,5,8.4152155
186,1,6,8.279003
186,2,1,5.638286
186,2,2,9.799723
186,2,3,7.724303
186,2,4,7.526206
186,2,5,8.546292
186,2,6,8.227325
186,3,1,4.379441
186,3,2,8.18578
186,3,3,4.9162083
186,3,4,7.49172
186,3,5,6.9419093
186,3,6,5.982845
186,4,1,6.4822593
186,4,2,8.606354
186,4,3,6.950986
186,4,4,10.245414
186,4,5,8.541024
186,4,6,8.471758
186,5,1,4.786372
186,5,2,9.339056
186,5,3,8.029526
186,5,4,6.561124
186,5,5,8.011426
186,5,6,8.390035
186,6,1,9.328642
186,6,2,10.805689
186,6,3,12.398852
186,6,4,10.865323
186,6,5,9.491688
186,6,6,10.59276
186,7,1,7.168343
186,7,2,10.40858
186,7,3,9.828879
186,7,4,11.554801
186,7,5,11.7967415
186,7,6,9.346709
186,8,1,4.495573
186,8,2,8.124731
186,8,3,5.9406366
186,8,4,7.7421885
186,8,5,9.335096
186,8,6,5.995951
186,9,1,5.2690353
186,9,2,7.924414
186,9,3,7.2136703
186,9,4,6.811632
186,9,5,7.3843417
186,9,6,7.782797
186,10,1,6.125974
186,10,2,9.14917
186,10,3,9.055536
186,10,4,8.487928
186,10,5,7.290661
186,10,6,9.234432
186,11,1,4.203335
186,11,2,5.559808
186,11,3,5.466635
186,11,4,4.8997803
186,11,5,9.374636
186,11,6,8.038648
186,12,1,6.418129
186,12,2,6.6257443
186,12,3,9.169546
186,12,4,8.651432
186,12,5,6.982039
186,12,6,7.759952
186,13,1,4.3058357
186,13,2,5.907106
186,13,3,9.031179
186,13,4,5.7361865
186,13,5,6.272716
186,13,6,6.491576
186,14,1,5.783853
186,14,2,9.107429
186,14,3,10.5093155
186,14,4,6.004313
186,14,5,12.168866
186,14,6,8.350288
186,15,1,2.163386
186,15,2,5.8829565
186,15,3,7.896588
186,15,4,2.7008414
186,15,5,3.0798724
186,15,6,5.833468
186,16,1,3.4655964
186,16,2,8.082603
186,16,3,5.4382277
186,16,4,4.9032044
186,16,5,7.7916374
186,16,6,6.798166
186,17,1,7.0491705
186,17,2,11.34193
186,17,3,12.943602
186,17,4,8.40151
186,17,5,10.650018
186,17,6,10.621167
186,18,1,3.2584214
186,18,2,6.658963
186,18,3,4.55149
186,18,4,4.034821
186,18,5,3.9074626
186,18,6,5.713564
186,19,1,0.8812351
186,19,2,5.6292253
186,19,3,4.1960235
186,19,4,4.5095754
186,19,5,5.210386
186,19,6,6.1402864
186,20,1,5.27361
186,20,2,9.571021
186,20,3,9.42662
186,20,4,8.88655
186,20,5,8.72549
186,20,6,8.649439
186,21,1,6.888571
186,21,2,10.004613
186,21,3,8.725993
186,21,4,9.444346
186,21,5,9.3405485
186,21,6,8.85384
186,22,1,6.203293
186,22,2,11.839542
186,22,3,8.88643
186,22,4,8.867323
186,22,5,8.326141
186,22,6,9.057186
186,23,1,5.162948
186,23,2,8.258854
