Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
227.74946117401123,2.8175704081853232,682332.6435089111,[-6.87693]
231.9388132095337,1.6270233392715454,441551.4802932739,[-4.067344]
254.27472400665283,1.2682005961736043,340832.5958251953,[-3.0529087]
242.00089859962463,1.1937619580162897,323587.1248245239,[-2.791468]
239.47046971321106,1.110954549577501,328320.73497772217,[-2.6684837]
231.73776125907898,1.0856692923439875,322657.49502182007,[-2.5614707]
260.9194543361664,1.1617232826020982,331579.77771759033,[-2.7094135]
243.73712301254272,1.1937340100606282,312279.6983718872,[-2.7813356]
235.08637237548828,1.1194090048472087,335055.49144744873,[-2.7109299]
246.7385139465332,1.149535854657491,336861.00006103516,[-2.7031562]
271.13375782966614,1.280522730615404,329819.0097808838,[-2.8469627]
253.5386996269226,1.0864158736334906,372195.05500793457,[-2.5709987]
261.99650716781616,1.2583139737447102,344657.7978134155,[-2.967776]
276.499135017395,1.1045496596230402,339263.445854187,[-2.5887337]
259.56985783576965,0.9894178973303901,342094.9492454529,[-2.3363016]
265.10293531417847,0.8434060414632162,337109.49897766113,[-2.0334334]
261.39478039741516,1.0089749892552693,325699.3565559387,[-2.3935971]
249.48774814605713,1.2501550780402289,322013.20219039917,[-2.8885326]
251.2714295387268,1.0336254172854953,330689.51416015625,[-2.38236]
248.11273670196533,0.9305218193266127,330732.0394515991,[-2.2745373]
262.05038118362427,1.1075418260362413,333989.9711608887,[-2.5131137]
244.7723524570465,1.08533861902025,310552.3281097412,[-2.5408235]
257.61925649642944,1.0709212223688762,331292.6797866821,[-2.519027]
250.98147439956665,1.098709609773424,350214.68353271484,[-2.5815258]
261.9506049156189,0.9767619901233249,323453.5217285156,[-2.3204768]
252.57318377494812,1.0199899011188083,350771.7170715332,[-2.4935505]
251.6710228919983,1.0466363032658894,345681.23054504395,[-2.4653246]
266.9196627140045,1.1108890374501545,352806.60343170166,[-2.600846]
255.18758153915405,1.116238408618503,328707.36598968506,[-2.6602955]
250.86870455741882,1.0969306230545044,339976.58348083496,[-2.5672514]
252.04499292373657,1.0618939797083538,326138.879776001,[-2.5223746]
270.1692178249359,1.1719943284988403,331358.03508758545,[-2.6826527]
254.65148997306824,1.072312765651279,326187.16955184937,[-2.5519102]
249.15856218338013,1.083795388539632,321623.8555908203,[-2.5496194]
269.7362062931061,1.3437867561976116,323931.1532974243,[-3.0636082]
253.5614891052246,1.0175163878334894,342974.4701385498,[-2.4027796]
261.2316062450409,0.9693007071812948,328122.2677230835,[-2.309924]
250.25565314292908,1.0356830226050482,327868.0715560913,[-2.3830235]
274.64362931251526,0.8230467107560899,333597.21183776855,[-2.0136936]
257.85331630706787,1.1413340833452013,343413.7773513794,[-2.716278]
255.2158818244934,1.032639503479004,331655.87425231934,[-2.4268193]
260.95269417762756,1.287407981024848,332572.9236602783,[-2.918629]
269.38791728019714,1.0573824908998277,327868.3786392212,[-2.4629772]
285.1299386024475,0.9463973177803887,332899.9300003052,[-2.2688599]
276.8049213886261,1.0805308818817139,337365.71407318115,[-2.5248044]
277.8177628517151,1.3289623260498047,332331.3102722168,[-2.9607203]
